,January,February,March,April,May,June,July,August,September,October,November,December
20231,2.77,2.64,2.72,2.86,2.84,2.82,2.75,2.73,2.71,2.66,2.8,2.84
2022,2.9,2.68,2.64,2.79,2.93,2.86,2.77,2.6,2.72,2.85,2.71,2.7
2021,3,2.8,2.72,2.82,2.89,2.78,2.78,2.81,2.69,2.81,2.78,2.89
2020,2.76,2.79,2.64,2.72,2.76,2.79,2.71,2.6,2.59,2.66,2.6,2.76
2019,2.72,2.76,2.83,2.78,2.83,2.94,2.78,2.65,2.65,2.7,2.86,2.77
Late preterm12,,,,,,,,,,,,
20231,7.72,7.56,7.61,7.62,7.56,7.91,7.6,7.53,7.42,7.62,7.6,8.01
2022,8.01,7.58,7.54,7.57,7.66,7.7,7.7,7.2,7.22,7.79,7.74,7.82
2021,8,7.65,7.49,7.77,7.61,7.66,7.64,7.67,7.43,7.63,7.63,7.94
2020,7.77,7.63,7.2,7.1,7.32,7.43,7.46,7.45,7.03,7.5,7.4,7.47
2019,7.52,7.43,7.48,7.36,7.45,7.58,7.52,7.41,7.01,7.44,7.62,7.71
Low birthweight13,,,,,,,,,,,,
20231,8.73,8.47,8.52,8.6,8.47,8.76,8.52,8.49,8.42,8.47,8.64,8.89
2022,9.01,8.48,8.39,8.54,8.76,8.74,8.59,8.18,8.33,8.83,8.74,8.69
2021,8.77,8.41,8.2,8.45,8.42,8.38,8.54,8.49,8.44,8.72,8.61,8.81
2020,8.56,8.4,8.15,8.16,8.18,8.25,8.35,8.14,7.96,8.27,8.17,8.34
2019,8.39,8.3,8.33,8.18,8.29,8.42,8.38,8.21,7.99,8.25,8.51,8.54
Very low birthweight14,,,,,,,,,,,,
20231,1.34,1.3,1.36,1.45,1.4,1.4,1.32,1.33,1.31,1.32,1.39,1.39
2022,1.41,1.3,1.31,1.37,1.47,1.4,1.36,1.29,1.37,1.41,1.35,1.31
2021,1.45,1.39,1.36,1.41,1.42,1.36,1.37,1.36,1.32,1.38,1.38,1.39
2020,1.36,1.4,1.34,1.35,1.42,1.38,1.35,1.28,1.27,1.29,1.27,1.36
2019,1.33,1.38,1.43,1.4,1.43,1.45,1.37,1.32,1.35,1.35,1.42,1.37
