CAS          NAME   CLASS  LOGP  LOGMOLAR  ESTIMATE   ERROR    WSOL       MP    MOLWT
000074-87-3  METHYL CHLORIDE                             2     .91    -0.977    -0.339  -0.638   5.32E+03    Liq   50.49
000074-88-4  METHYL IODIDE                               2    1.51    -1.012    -1.202   0.19    1.38E+04    Liq   141.94
000074-95-3  DIBROMOMETHANE                              2    1.70    -1.165    -1.485   0.32    1.19E+04    Liq   173.85
000074-96-4  BROMOETHANE                                 2    1.61    -1.086    -1.195   0.109   8.94E+03    Liq   108.97
000074-97-5  CHLOROBROMOMETHANE                          2    1.41    -0.889    -1.067   0.178   1.67E+04    Liq   129.39
000075-00-3  CHLOROETHANE                                2    1.43    -1.055    -0.882  -0.173   5.68E+03    Liq   64.52
000075-03-6  IODOETHANE                                  2    2.00    -1.601    -1.717   0.116   3.91E+03    Liq   155.97
000075-09-2  DICHLOROMETHANE                             2    1.25    -0.815    -0.773  -0.042   1.30E+04    Liq   84.93
000075-11-6  METHYLENE IODIDE                            2    2.15    -2.334    -2.212  -0.123   1.24E+03    Liq   267.84
000075-29-6  2-CHLOROPROPANE                             2    1.90    -1.404    -1.377  -0.026   3.1E+03     Liq   78.54
000075-34-3  1,1-DICHLOROETHANE                          2    1.79    -1.291    -1.336   0.045   5.06E+03    Liq   98.96
000075-37-6  1,1-DIFLUOROETHANE                          2     .75    -1.315    -1.179  -0.136   3.20E+03    Liq   66.05
000075-43-4  DICHLOROFLUOROMETHANE                       2    1.55    -0.738    -1.118   0.38    1.88E+04    Liq   102.92
000075-45-6  CHLORODIFLUOROMETHANE                       2    1.08    -1.494    -1.56    0.066   2.77E+03    Liq   86.47
000075-46-7  TRIFLUOROMETHANE                            2     .64    -1.233    -1.086  -0.147   4.09E+03    Liq   70.01
000075-63-8  BROMOTRIFLUOROMETHANE                       2    1.86    -2.668    -2.505  -0.163   3.20E+02    Liq   148.92
000075-69-4  TRICHLOROFLUOROMETHANE                      2    2.53    -2.096    -2.167   0.07    1.10E+03    Liq   137.37
000075-71-8  DICHLORODIFLUOROMETHANE                     2    2.16    -2.635    -2.705   0.07    2.80E+02    Liq   120.91
000075-72-9  CHLOROTRIFLUOROMETHANE                      2    1.65    -3.065    -2.164  -0.901   9.00E+01    Liq   104.46
000076-01-7  PENTACHLOROETHANE                           2    2.89    -2.625    -2.716   0.092   4.80E+02    Liq   202.30
000076-13-1  1,1,2-TRICHLOROTRIFLUOROETHANE              2    3.16    -3.042    -3.874   0.831   1.70E+02    Liq   187.38
000076-14-2  1,2-DICHLOROTETRAFLUOROETHANE               2    2.82    -3.119    -3.496   0.377   1.30E+02    Liq   170.92
000079-00-5  1,1,2-TRICHLOROETHANE                       2    1.89    -1.48     -1.54    0.06    4.42E+03    Liq   133.41
000079-34-5  1,1,2,2-TETRACHLOROETHANE                   2    2.39    -1.754    -2.128   0.375   2.96E+03    Liq   167.85
000106-93-4  1,2-DIBROMOETHANE                           2    2.10    -1.656    -1.913   0.257   4.15E+03    Liq   187.87
000106-94-5  1-BROMOPROPANE                              2    2.10    -1.701    -1.709   0.008   2.45E+03    Liq   123.00
000107-06-2  1,2-DICHLOROETHANE                          2    1.48    -1.065    -1.038  -0.027   8.52E+03    Liq   98.96
000108-85-0  BROMOCYCLOHEXANE                            2    3.20    -2.294    -2.891   0.596   8.28E+02    Liq   163.06
000109-65-9  1-BROMOBUTANE                               2    2.75    -2.198    -2.377   0.179   8.69E+02    Liq   137.03
000109-69-3  1-CHLOROBUTANE                              2    2.64    -1.925    -2.132   0.207   1.10E+03    Liq   92.57
000109-70-6  1-CHLORO-3-BROMOPROPANE                     2    2.18    -1.847    -1.894   0.047   2.24E+03    Liq   157.44
000110-53-2  1-BROMOPENTANE                              2    3.37    -3.075    -3.016  -0.059   1.27E+02    Liq   151.05
000111-25-1  1-BROMOHEXANE                               2    3.80    -3.808    -3.473  -0.335   2.57E+01    Liq   165.08
000111-83-1  1-BROMOOCTANE                               2    4.89    -5.063    -4.608  -0.456   1.67E+00    Liq   193.13
000142-28-9  1,3-DICHLOROPROPANE                         2    2.00    -1.614    -1.582  -0.032   2.75E+03    Liq   112.99
000151-67-7  HALOTHANE                                   2    2.30    -1.704    -2.135   0.43    3.90E+03    Liq   197.39
000319-84-6  ALPHA-HEXACHLOROCYCLOHEXANE                 2    3.80    -5.163    -5.105  -0.057   2.00E+00   159.5  290.83
000319-85-7  BETA-HEXACHLOROCYCLOHEXANE                  2    3.78    -6.083    -6.512   0.429   2.40E-01   314.5  290.83
000319-86-8  DELTA-HEXACHLOROCYCLOHEXANE                 2    4.14    -4.464    -5.234   0.77    1.00E+01   138.0  290.83
000540-54-5  1-CHLOROPROPANE                             2    2.04    -1.461    -1.512   0.051   2.72E+03    Liq   78.54
000593-53-3  FLUOROMETHANE                               2     .51    -0.176     0.097  -0.273   2.27E+04    Liq   34.03
000629-04-9  1-BROMOHEPTANE                              2    4.36    -4.431    -4.055  -0.376   6.64E+00    Liq   179.11
000629-06-1  1-CHLOROHEPTANE                             2    4.15    -3.996    -3.714  -0.282   1.36E+01    Liq   134.65
004282-40-0  1-IODOHEPTANE                               2    4.70    -4.81     -4.529  -0.281   3.50E+00    Liq   226.10
000106-98-9  1-BUTENE                                    3    2.40    -2.405    -2.228  -0.177   2.21E+02    Liq   56.11
000106-99-0  1,3-BUTADIENE                               3    1.99    -1.867    -1.828  -0.039   7.35E+02    Liq   54.09
000110-83-8  CYCLOHEXENE                                 3    2.86    -2.586    -2.751   0.165   2.13E+02    Liq   82.15
000111-66-0  1-OCTENE                                    3    4.57    -4.437    -4.487   0.05    4.10E+00    Liq   112.22
000115-11-7  ISOBUTENE                                   3    2.34    -2.329    -2.17   -0.159   2.63E+02    Liq   56.11
000124-11-8  ISONONENE                                   3    5.15    -5.052    -5.088   0.036   1.12E+00    Liq   126.24
000544-25-2  CYCLOHEPTATRIENE                            3    2.63    -2.172    -2.562   0.39    6.20E+02    Liq   92.14
000590-18-1  TRANS-2-BUTENE                              3    2.33    -1.93     -2.161   0.231   6.59E+02    Liq   56.11
000591-93-5  1,4-PENTADIENE                              3    2.48    -2.087    -2.342   0.256   5.58E+02    Liq   68.12
000592-41-6  1-HEXENE                                    3    3.39    -3.226    -3.266   0.04    5.00E+01    Liq   84.16
000592-42-7  1,5-HEXADIENE                               3    2.45    -2.687    -2.358  -0.329   1.69E+02    Liq   82.15
000592-76-7  1-HEPTENE                                   3    3.99    -3.732    -3.887   0.155   1.82E+01    Liq   98.19
000624-64-6  CIS-2-BUTENE                                3    2.31    -2.041    -2.142   0.101   5.11E+02    Liq   56.11
000628-41-1  1,4-CYCLOHEXADIENE                          3    2.30    -2.059    -2.207   0.149   7.00E+02    Liq   80.13
000075-35-4  1,1-DICHLOROETHENE                          4    2.13    -1.634    -1.656   0.022   2.25E+03    Liq   96.94
000075-38-7  1,1-DIFLUOROETHENE                          4    1.24    -0.706    -0.698  -0.008   1.26E+04    Liq   64.04
000077-47-4  HEXACHLOROCYCLOPENTADIENE                   4    5.04    -5.181    -5.002  -0.179   1.80E+00    Liq   272.77
000079-01-6  TRICHLOROETHENE                             4    2.42    -2.077    -2.043  -0.035   1.10E+03    Liq   131.39
000087-68-3  HEXACHLOROBUTADIENE                         4    4.78    -4.911    -4.714  -0.197   3.20E+00    Liq   260.76
000106-95-6  3-BROMO-1-PROPENE                           4    1.79    -1.5      -1.405  -0.094   3.83E+03    Liq   120.98
000127-18-4  TETRACHLOROETHENE                           4    3.40    -2.919    -3.092   0.173   2.00E+02    Liq   165.83
000156-59-2  1,2-DICHLOROETHENE (CIS)                    4    1.86    -1.442    -1.397  -0.046   3.50E+03    Liq   96.94
000156-60-5  1,2-DICHLOROETHENE (TRANS)                  4    2.09    -1.187    -1.618   0.43    6.30E+03    Liq   96.94
000540-59-0  1,2-DICHLOROETHYLENE                        4    1.86    -1.442    -1.397  -0.046   3.50E+03    Liq   96.94
000593-60-2  BROMOETHENE                                 4    1.57    -1.275    -1.15   -0.125   5.68E+03    Liq   106.96
005162-44-7  4-BROMO-1-BUTENE                            4    2.53    -2.247    -2.16   -0.088   7.64E+02    Liq   135.01
025429-23-6  1,2-DIBROMOETHENE                           4    1.76    -1.742    -1.58   -0.162   3.37E+03    Liq   185.86
000627-19-0  1-PENTYNE                                   5    1.98    -1.637    -1.862   0.225   1.57E+03    Liq   68.12
000693-02-7  1-HEXYNE                                    5    2.73    -2.277    -2.582   0.306   3.60E+02    Liq   68.12
000060-29-7  DIETHYL ETHER                               6     .89    -0.089    -0.394   0.305   6.04E+04    Liq   74.12
000105-57-7  1,1-DIETHOXYETHANE                          6     .84    -0.429    -0.484   0.055   4.40E+04    Liq   118.18
000108-20-3  DI-ISOPROPYL ETHER                          6    1.52    -1.708    -1.087  -0.621   2.00E+03    Liq   102.18
000109-59-1  ISOPROPOXYETHANOL                           6     .05     0.982     0.742   0.24    1.00E+06    Liq   104.15
000109-86-4  2-METHOXYETHANOL                            6    -.77     1.119     1.119   0       1.00E+06    Liq   76.10
000109-87-5  DIMETHOXYMETHANE                            6    0.00     0.506     0.454   0.052   2.44E+05    Liq   76.10
000109-92-2  ETHYL VINYL ETHER                           6    1.04    -0.858    -0.532  -0.326   1.00E+04    Liq   72.11
000109-99-9  TETRAHYDROFURAN                             6     .46     1.142     0.025   1.117   1.00E+06    Liq   72.11
000110-71-4  ETHYLENE GLYCOL DIMETHYL ETHER              6    -.21     1.045     0.612   0.433   1.00E+06    Liq   90.12
000110-80-5  2-ETHOXYETHANOL                             6    -.10     1.045     0.93    0.115   1.00E+06    Liq   90.12
000110-88-3  1,3,5-TRIOXANE                              6   -1.74     0.288     1.045  -0.757   1.75E+05    64.0  90.08
000111-43-3  DI(N-PROPYL) ETHER                          6    2.03    -1.319    -1.576   0.257   4.90E+03    Liq   102.18
000111-44-4  BIS(2-CHLOROETHYL) ETHER                    6    1.29    -0.92     -0.994   0.074   1.72E+04    Liq   143.01
000111-76-2  ETHYLENE GLYCOL N-BUTYL ETHER               6     .83     0.927    -0.051   0.978   1.00E+06    Liq   118.18
000111-90-0  DIETHYLENE GLYCOL MONOETHYL ETHER           6    -.54     0.872     0.872   0       1.00E+06    Liq   134.18
000111-96-6  2-METHOXYETHYLETHER                         6    -.36     0.872     0.617   0.255   1.00E+06    Liq   134.18
000112-25-4  2-HEXYLOXYETHANOL                           6    1.86    -1.169    -1.128  -0.042   9.90E+03    Liq   146.23
000112-36-7  2-ETHOXYETHYLETHER                          6     .39     0.79     -0.191   0.98    1.00E+06    Liq   162.23
000112-48-1  1,2-DIBUTYOXYETHANE                         6    2.48    -1.94     -2.235   0.295   2.00E+03    Liq   174.29
000112-73-2  DIETHYLENE GLYCOL DIBUTYL ETHER             6    1.92    -1.862    -1.836  -0.026   3.00E+03    Liq   218.34
000115-10-6  DIMETHYL ETHER                              6     .10     0.884     0.453   0.432   3.53E+05    Liq   46.07
000123-63-7  PARALDEHYDE                                 6     .67    -0.072    -0.365   0.293   1.12E+05    Liq   132.16
000123-91-1  1,4-DIOXANE                                 6    -.27     1.055     0.676   0.379   1.00E+06    Liq   88.11
000142-68-7  TETRAHYDROPYRAN                             6     .64    -0.031    -0.192   0.161   8.02E+04    Liq   86.13
000142-96-1  DI-N-BUTYL ETHER                            6    3.08    -2.638    -2.673   0.035   3.00E+02    Liq   130.23
000462-95-3  DIETHOXYMETHANE                             6     .84    -0.173    -0.44    0.268   7.00E+04    Liq   104.15
000629-14-1  1,2-DIETHOXYETHANE                          6     .62    -0.15     -0.273   0.123   8.37E+04    Liq   118.18
000646-06-0  1,3-DIOXALANE                               6    -.37     1.13      0.816   0.315   1.00E+06    Liq   74.08
001634-04-4  METHYL T-BUTYL ETHER                        6    1.24    -0.238    -0.774   0.536   5.10E+04    Liq   88.15
013838-16-9  ETHRANE [HALOETHER]                         6    2.10    -1.516    -1.902   0.386   5.62E+03    Liq   184.49
026675-46-7  ISOFLURANE                                  6    2.06    -1.616    -1.864   0.248   4.47E+03    Liq   184.49
000055-18-5  N-NITROSODIETHYLAMINE                       7     .48     0.016    -0.088   0.104   1.06E+05    Liq   102.14
000059-89-2  N-NITROSOMORPHOLINE                         7    -.44     0.935     0.714   0.221   1.00E+06    29.0  116.12
000062-75-9  N-NITROSODIMETHYLAMINE                      7    -.57     1.13      1.008   0.123   1.00E+06    Liq   74.08
000086-30-6  DIPHENYLNITROSAMINE                         7    3.13    -3.753    -3.32   -0.433   3.50E+01    67.0  198.23
000131-91-9  1-NITROSO-2-NAPHTHOL                        7    2.28    -2.238    -1.856  -0.383   1.00E+03   109.5  173.17
000132-53-6  2-NITROSO-1-NAPHTHOL                        7    2.57    -2.54     -2.571   0.032   5.00E+02   157.0  173.17
000601-77-4  DI-I-PROPYLNITROSOAMINE                     7    1.63    -1.001    -1.28    0.28    1.30E+04    Liq   130.19
000621-64-7  N-NITROSODIPROPYLAMINE                      7    1.36    -1.001    -1.021   0.021   1.30E+04    Liq   130.19
000924-16-3  N-NITROSODIBUTYLAMINE                       7    1.92    -2.096    -1.647  -0.449   1.27E+03    Liq   158.25
004549-44-4  N-NITROSOETHYL-N-BUTYLAMINE                 7    1.63    -1.035    -1.28    0.245   1.20E+04    Liq   130.19
007068-83-9  N-NITROSO-N-METHYLBUTYLAMINE                7    1.08    -0.7      -0.708   0.009   2.32E+04    Liq   116.16
010595-95-6  N-METHYL-N-NITROSOETHAMINE                  7     .04     0.532     0.378   0.154   3.00E+05    Liq   88.11
000050-18-0  CYCLOPHOSPHAMIDE                            8     .63    -0.815    -0.897   0.082   4.00E+04    43.0  261.09
000050-29-3  P,P'-DDT                                    8    6.94    -7.809    -7.855   0.046   5.50E-03   109.0  354.49
000052-68-6  TRICHLORFON                                 8     .51    -0.331    -0.719   0.387   1.20E+05    83.5  257.44
000055-38-9  FENTHION                                    8    4.09    -4.569    -4.107  -0.462   7.50E+00    Liq   278.33
000056-38-2  PARATHION                                   8    3.83    -4.649    -4.403  -0.246   6.54E+00    Liq   291.26
000057-74-9  CHLORDANE                                   8    6.00    -6.864    -7.09    0.225   5.60E-02   105.0  409.78
000060-51-5  DIMETHOATE                                  8     .50    -0.962    -0.755  -0.207   2.50E+04    52.0  229.26
000060-57-1  DIELDRIN                                    8    5.40    -6.291    -7.071   0.781   1.95E-01   175.5  380.91
000062-38-4  PHENYLMERCURIC ACETATE                      8     .71    -2.226    -2.182  -0.044   2.00E+03   148.5  336.74
000062-73-7  DICHLORVOS                                  8    1.16    -1.344    -1.114  -0.23    1.00E+04    Liq   220.98
000063-25-2  1-NAPHTHYL-N-METHYLCARBAMATE                8    2.36    -3.387    -3.281  -0.106   8.26E+01   142.0  201.23
000072-20-8  ENDRIN                                      8    5.20    -6.183    -7.188   1.005   2.50E-01   209.0  380.91
000072-43-5  METHOXYCHLOR                                8    4.95    -6.539    -5.733  -0.806   1.00E-01    89.0  345.66
000072-54-8  P,P'-DDD                                    8    6.02    -6.551    -6.868   0.317   9.00E-02   109.5  320.05
000072-55-9  P,P'-DDE                                    8    6.51    -6.9      -7.144   0.243   4.00E-02    89.0  318.03
000076-44-8  HEPTACHLOR                                  8    5.50    -6.317    -6.408   0.091   1.80E-01    95.5  373.32
000078-48-8  DEF                                         8    5.70    -5.634    -5.766   0.132   7.30E-01    Liq   314.51
000081-81-2  WARFARIN                                    8    2.52    -4.259    -3.945  -0.313   1.70E+01   161.0  308.34
000086-50-0  METHYL AZINPHOS                             8    2.75    -4.181    -3.73   -0.451   2.09E+01    73.5  317.33
000088-85-7  DINOSEB                                     8    3.69    -3.665    -3.741   0.077   5.20E+01    40.0  240.22
000093-65-2  MECOPROP                                    8    3.13    -2.539    -2.975   0.436   6.20E+02    94.5  214.65
000093-72-1  SILVEX                                      8    3.13    -3.579    -3.949   0.369   7.10E+01   181.6  269.51
000093-76-5  2,4,5-TRICHLOROPHENOXYACETIC ACID           8    3.31    -2.963    -3.828   0.865   2.78E+02   154.5  255.49
000094-75-7  2,4-DICHLOROPHENOXYACETIC ACID              8    2.81    -2.514    -3.111   0.597   6.77E+02   140.5  221.04
000094-82-6  2,4-DB                                      8    3.53    -3.672    -3.683   0.011   5.30E+01   118.0  249.10
000096-64-0  SOMAN                                       8    1.78    -0.938    -1.588   0.649   2.10E+04    Liq   182.18
000097-17-6  DICHLOFENTHION                              8    5.14    -6.109    -5.231  -0.879   2.45E-01    Liq   315.16
000101-05-3  ANILAZINE                                   8    3.88    -4.537    -5.134   0.597   8.00E+00   159.5  275.53
000101-21-3  CHLORPROPHAM                                8    3.51    -3.38     -3.498   0.118   8.90E+01    41.4  213.67
000101-42-8  FENURON                                     8     .98    -1.61     -1.757   0.147   4.03E+03   133.0  164.21
000108-60-1  DCIP                                        8    2.48    -2.003    -2.225   0.222   1.70E+03    Liq   171.07
000114-26-1  PROPOXUR                                    8    1.45    -2.051    -1.968  -0.084   1.86E+03    91.5  209.25
000115-32-2  DICOFOL                                     8    5.02    -5.448    -5.348  -0.1     1.32E+00    77.5  370.49
000115-90-2  FENSULFOTHION                               8    2.23    -2.188    -2.416   0.228   2.00E+03    Liq   308.36
000116-06-3  ALDICARB                                    8    1.13    -1.499    -1.67    0.171   6.03E+03    99.0  190.27
000120-36-5  DICHLORPROP                                 8    3.43    -2.827    -3.543   0.716   3.50E+02   118.0  235.07
000121-75-5  MALATHION                                   8    2.36    -3.364    -2.61   -0.754   1.43E+02    Liq   330.36
000122-14-5  FENITROTHION                                8    3.38    -3.863    -3.927   0.064   3.80E+01    Liq   277.24
000122-34-9  SIMAZINE                                    8    2.18    -4.549    -3.887  -0.662   5.70E+00   226.5  201.66
000122-42-9  ISOPROPYL PHENYL CARBAMATE                  8    2.60    -3.001    -2.936  -0.065   1.79E+02    87.0  179.22
000133-06-2  CAPTAN                                      8    2.35    -4.77     -3.914  -0.856   5.10E+00   178.0  300.59
000139-40-2  PROPAZINE                                   8    2.93    -4.427    -4.57    0.144   8.60E+00   213.0  229.71
000141-66-2  DICROTOPHOS                                 8    -.49     0.625     0.419   0.206   1.00E+06    Liq   237.19
000150-68-5  MONURON                                     8    1.94    -2.936    -3.187   0.25    2.30E+02   176.5  198.65
000298-00-0  PARATHION METHYL                            8    2.86    -3.844    -3.48   -0.363   3.77E+01    35.5  263.21
000298-02-2  PHORATE                                     8    3.83    -3.717    -3.801   0.085   5.00E+01    Liq   260.38
000298-04-4  DISULFOTON                                  8    4.02    -4.226    -4.028  -0.199   1.63E+01    Liq   274.41
000299-84-3  RONNEL                                      8    4.98    -5.507    -5.244  -0.263   1.00E+00    41.0  321.55
000299-85-4  DMPA                                        8    4.30    -4.798    -4.664  -0.134   5.00E+00    51.4  314.17
000299-86-5  CRUFOMATE                                   8    3.42    -3.164    -3.831   0.667   2.00E+02    60.3  291.72
000300-76-5  NALED                                       8    1.38    -2.28     -1.827  -0.452   2.00E+03    Liq   380.80
000309-00-2  ALDRIN                                      8    6.50    -7.332    -7.424   0.092   1.70E-02   104.5  364.92
000311-45-5  PARAOXON                                    8    1.98    -2.059    -2.577   0.517   2.40E+03    Liq   275.20
000314-40-9  BROMACIL                                    8    2.11    -2.506    -3.379   0.873   8.15E+02   158.3  261.13
000327-98-0  TRICHLORONATE                               8    5.23    -5.752    -5.375  -0.377   5.90E-01    Liq   333.60
000330-54-1  DIURON                                      8    2.77    -3.744    -3.922   0.177   4.20E+01   158.0  233.10
000330-55-2  LINURON                                     8    3.20    -3.521    -3.791   0.27    7.50E+01    93.5  249.10
000333-41-5  DIAZINON                                    8    3.81    -3.881    -3.92    0.039   4.00E+01    Liq   304.35
000470-90-6  CHLORFENVINPHOS                             8    3.82    -3.462    -4.103   0.641   1.24E+02    Liq   359.58
000494-52-0  ANABASINE                                   8     .97     0.79      0.79    0       1.00E+06    Liq   162.24
000500-28-7  3-CHLORO-DIMETHYL PARATHION                 8    3.45    -3.872    -4.058   0.187   4.00E+01    Liq   297.66
000555-37-3  NEBURON                                     8    3.80    -4.758    -4.523  -0.236   4.80E+00   101.5  275.18
000556-61-6  METHYL ISOTHIOCYANATE                       8     .94    -0.983    -0.531  -0.452   7.60E+03    35.0  73.12
000563-12-2  ETHION                                      8    5.07    -5.284    -5.381   0.097   2.00E+00    Liq   384.48
000592-35-8  O-BUTYL CARBAMATE                           8     .85    -0.657    -0.73    0.073   2.58E+04    51.0  117.15
000598-55-0  O-METHYL CARBAMATE                          8    -.66     0.964     0.843   0.121   6.91E+05    52.0  75.07
000627-12-3  O-PROPYLCARBAMATE                           8     .36    -0.13     -0.298   0.168   7.64E+04    60.0  103.12
000709-98-8  PROPANIL                                    8    3.07    -2.986    -3.491   0.504   2.25E+02    85.0  218.08
000732-11-6  PHOSMET                                     8    2.83    -4.114    -3.457  -0.657   2.44E+01    72.5  317.32
000759-94-4  EPTAM (EPTC)                                8    3.21    -2.703    -2.983   0.28    3.75E+02    Liq   189.32
000786-19-6  CARBOPHENTHION                              8    5.33    -5.736    -5.5    -0.236   6.30E-01    Liq   342.87
000834-12-8  AMETRYNE                                    8    2.98    -3.037    -3.424   0.388   2.09E+02    84.0  227.33
000886-50-0  TERBUTRYN                                   8    3.74    -3.985    -4.382   0.397   2.50E+01   104.0  241.36
000944-22-9  FONOPHOS                                    8    3.94    -4.159    -3.8    -0.359   1.57E+01    Liq   226.34
000950-37-8  METHIDATHION                                8    2.42    -3.209    -2.713  -0.496   1.87E+02    39.5  302.33
000953-17-3  CARBOPHENOTHION-METHYL                      8    4.82    -5.294    -4.923  -0.371   1.60E+00    Liq   314.81
000959-98-8  A-ENDOSULFAN                                8    3.83    -5.902    -5.954   0.052   5.10E-01   209.0  406.93
000961-11-5  STIROFOS                                    8    3.53    -4.522    -4.512  -0.01    1.10E+01    97.5  365.97
000999-81-5  CHLORMEQUAT CHLORIDE                        8   -3.80     0.799     0.801  -0.002   9.96E+05   245.0  158.07
001014-70-6  SIMETRYN                                    8    2.54    -2.676    -2.939   0.264   4.50E+02    82.0  213.31
001024-57-3  HEPTACHLOR EPOXIDE                          8    4.98    -6.289    -6.552   0.263   2.00E-01   160.0  389.32
001129-41-5  N-METHYL-M-TOLYLCARBAMATE                   8    1.70    -1.803    -1.931   0.128   2.60E+03    76.5  165.19
001563-66-2  CARBOFURAN                                  8    2.32    -2.84     -3.388   0.548   3.20E+02   151.0  221.26
001582-09-8  TRIFLURALIN                                 8    5.34    -6.048    -6.212   0.164   3.00E-01    49.0  335.29
001610-18-0  PROMETON                                    8    2.99    -2.478    -3.496   1.019   7.50E+02    91.5  225.30
001646-88-4  ALDICARB SULFONE                            8    -.57    -1.347    -1.39    0.043   1.00E+04   141.0  222.26
001698-60-8  CHLORIDAZON                                 8    1.14    -2.744    -2.772   0.028   4.00E+02   207.0  221.65
001746-81-2  MONOLINURON                                 8    2.30    -2.363    -2.704   0.341   9.30E+02    81.0  214.65
001836-75-5  NITROFEN                                    8    4.64    -5.453    -5.577   0.123   1.00E+00    70.5  284.10
001836-77-7  CHLORNITROFEN                               8    4.97    -5.62     -6.006   0.386   7.64E-01    71.0  318.55
001861-32-1  DIMETHYL TETRACHLOROTEREPHTHALATE           8    4.40    -5.822    -5.778  -0.044   5.00E-01   156.0  331.97
001897-45-6  CHLOROTHANONIL                              8    3.05    -5.647    -5.502  -0.145   6.00E-01   250.0  265.91
001912-24-9  ATRAZINE                                    8    2.75    -3.887    -3.976   0.09    2.80E+01   172.0  215.69
001912-26-1  TRIETAZINE                                  8    3.34    -4.06     -3.934  -0.126   2.00E+01   101.0  229.71
001918-00-9  DICAMBA                                     8    2.21    -1.691    -2.052   0.361   4.50E+03   115.0  221.04
001918-16-7  PROPACHLOR                                  8    2.18    -2.481    -2.451  -0.03    7.00E+02    67.0  211.69
002032-59-9  AMINOCARB                                   8    1.90    -2.357    -2.415   0.058   9.15E+02    93.5  208.26
002104-64-5  EPN                                         8    3.85    -5.017    -4.624  -0.393   3.11E+00    36.0  323.31
002104-96-3  BROMOPHOS                                   8    5.11    -6.086    -5.624  -0.463   3.00E-01    53.5  366.00
002164-17-2  FLUOMETURON                                 8    2.20    -3.436    -3.427  -0.01    8.50E+01   164.0  232.21
002212-67-1  MOLINATE                                    8    3.21    -2.286    -2.977   0.691   9.70E+02    Liq   187.31
002307-68-8  SOLAN                                       8    4.31    -4.45     -4.74    0.29    8.50E+00    84.0  239.75
002310-17-0  PHOSALONE                                   8    4.30    -5.233    -4.801  -0.432   2.15E+00    48.0  367.81
002312-35-8  PROPARGITE                                  8    5.00    -5.846    -5.207  -0.638   5.00E-01    Liq   350.48
002425-10-7  3,4-DIMEPHENYL N-METHYLCARBAMATE            8    2.09    -2.139    -2.377   0.238   1.30E+03    79.5  179.22
002463-84-5  DICAPTHON                                   8    3.58    -4.306    -4.436   0.13    1.47E+01    52.5  297.66
002631-37-0  3-I-PR-5-MEPHENYL-N-ME CARBAMATE            8    3.10    -3.357    -3.509   0.151   9.10E+01    87.5  207.27
002631-40-5  N-METHYL-2-ISOPROPYLPHENYLCARBAMATE         8    2.31    -2.684    -2.729   0.045   4.00E+02    90.0  193.25
002636-26-2  CYANOPHOS                                   8    2.71    -3.723    -3.034  -0.689   4.60E+01    Liq   243.22
