CAS,NAME,CLASS,LOGP,LOGMOLAR,ESTIMATE,ERROR,WSOL,MP,MOLWT,class_name
76-01-7,PENTACHLOROETHANE,2,2.89,-2.625,-2.716,0.092,480.0,Liq,202.3,Haloalkanes
76-13-1,"1,1,2-TRICHLOROTRIFLUOROETHANE",2,3.16,-3.042,-3.874,0.831,170.0,Liq,187.38,Haloalkanes
76-14-2,"1,2-DICHLOROTETRAFLUOROETHANE",2,2.82,-3.119,-3.496,0.377,130.0,Liq,170.92,Haloalkanes
79-00-5,"1,1,2-TRICHLOROETHANE",2,1.89,-1.48,-1.54,0.06,4420.0,Liq,133.41,Haloalkanes
79-34-5,"1,1,2,2-TETRACHLOROETHANE",2,2.39,-1.754,-2.128,0.375,2960.0,Liq,167.85,Haloalkanes
106-93-4,"1,2-DIBROMOETHANE",2,2.1,-1.656,-1.913,0.257,4150.0,Liq,187.87,Haloalkanes
106-94-5,1-BROMOPROPANE,2,2.1,-1.701,-1.709,0.008,2450.0,Liq,123.0,Haloalkanes
107-06-2,"1,2-DICHLOROETHANE",2,1.48,-1.065,-1.038,-0.027,8520.0,Liq,98.96,Haloalkanes
108-85-0,BROMOCYCLOHEXANE,2,3.2,-2.294,-2.891,0.596,828.0,Liq,163.06,Haloalkanes
109-65-9,1-BROMOBUTANE,2,2.75,-2.198,-2.377,0.179,869.0,Liq,137.03,Haloalkanes
109-69-3,1-CHLOROBUTANE,2,2.64,-1.925,-2.132,0.207,1100.0,Liq,92.57,Haloalkanes
109-70-6,1-CHLORO-3-BROMOPROPANE,2,2.18,-1.847,-1.894,0.047,2240.0,Liq,157.44,Haloalkanes
110-53-2,1-BROMOPENTANE,2,3.37,-3.075,-3.016,-0.059,127.0,Liq,151.05,Haloalkanes
111-25-1,1-BROMOHEXANE,2,3.8,-3.808,-3.473,-0.335,25.7,Liq,165.08,Haloalkanes
111-83-1,1-BROMOOCTANE,2,4.89,-5.063,-4.608,-0.456,1.67,Liq,193.13,Haloalkanes
142-28-9,"1,3-DICHLOROPROPANE",2,2.0,-1.614,-1.582,-0.032,2750.0,Liq,112.99,Haloalkanes
151-67-7,HALOTHANE,2,2.3,-1.704,-2.135,0.43,3900.0,Liq,197.39,Haloalkanes
319-84-6,ALPHA-HEXACHLOROCYCLOHEXANE,2,3.8,-5.163,-5.105,-0.057,2.0,159.5,290.83,Haloalkanes
319-85-7,BETA-HEXACHLOROCYCLOHEXANE,2,3.78,-6.083,-6.512,0.429,0.24,314.5,290.83,Haloalkanes
319-86-8,DELTA-HEXACHLOROCYCLOHEXANE,2,4.14,-4.464,-5.234,0.77,10.0,138.0,290.83,Haloalkanes
540-54-5,1-CHLOROPROPANE,2,2.04,-1.461,-1.512,0.051,2720.0,Liq,78.54,Haloalkanes
593-53-3,FLUOROMETHANE,2,0.51,-0.176,0.097,-0.273,22700.0,Liq,34.03,Haloalkanes
629-04-9,1-BROMOHEPTANE,2,4.36,-4.431,-4.055,-0.376,6.64,Liq,179.11,Haloalkanes
629-06-1,1-CHLOROHEPTANE,2,4.15,-3.996,-3.714,-0.282,13.6,Liq,134.65,Haloalkanes
4282-40-0,1-IODOHEPTANE,2,4.7,-4.81,-4.529,-0.281,3.5,Liq,226.1,Haloalkanes
106-98-9,1-BUTENE,3,2.4,-2.405,-2.228,-0.177,221.0,Liq,56.11,Alkenes
106-99-0,"1,3-BUTADIENE",3,1.99,-1.867,-1.828,-0.039,735.0,Liq,54.09,Alkenes
110-83-8,CYCLOHEXENE,3,2.86,-2.586,-2.751,0.165,213.0,Liq,82.15,Alkenes
111-66-0,1-OCTENE,3,4.57,-4.437,-4.487,0.05,4.1,Liq,112.22,Alkenes
115-11-7,ISOBUTENE,3,2.34,-2.329,-2.17,-0.159,263.0,Liq,56.11,Alkenes
124-11-8,ISONONENE,3,5.15,-5.052,-5.088,0.036,1.12,Liq,126.24,Alkenes
544-25-2,CYCLOHEPTATRIENE,3,2.63,-2.172,-2.562,0.39,620.0,Liq,92.14,Alkenes
590-18-1,TRANS-2-BUTENE,3,2.33,-1.93,-2.161,0.231,659.0,Liq,56.11,Alkenes
591-93-5,"1,4-PENTADIENE",3,2.48,-2.087,-2.342,0.256,558.0,Liq,68.12,Alkenes
592-41-6,1-HEXENE,3,3.39,-3.226,-3.266,0.04,50.0,Liq,84.16,Alkenes
592-42-7,"1,5-HEXADIENE",3,2.45,-2.687,-2.358,-0.329,169.0,Liq,82.15,Alkenes
592-76-7,1-HEPTENE,3,3.99,-3.732,-3.887,0.155,18.2,Liq,98.19,Alkenes
624-64-6,CIS-2-BUTENE,3,2.31,-2.041,-2.142,0.101,511.0,Liq,56.11,Alkenes
628-41-1,"1,4-CYCLOHEXADIENE",3,2.3,-2.059,-2.207,0.149,700.0,Liq,80.13,Alkenes
75-35-4,"1,1-DICHLOROETHENE",4,2.13,-1.634,-1.656,0.022,2250.0,Liq,96.94,Haloalkenes
75-38-7,"1,1-DIFLUOROETHENE",4,1.24,-0.706,-0.698,-0.008,12600.0,Liq,64.04,Haloalkenes
77-47-4,HEXACHLOROCYCLOPENTADIENE,4,5.04,-5.181,-5.002,-0.179,1.8,Liq,272.77,Haloalkenes
79-01-6,TRICHLOROETHENE,4,2.42,-2.077,-2.043,-0.035,1100.0,Liq,131.39,Haloalkenes
87-68-3,HEXACHLOROBUTADIENE,4,4.78,-4.911,-4.714,-0.197,3.2,Liq,260.76,Haloalkenes
106-95-6,3-BROMO-1-PROPENE,4,1.79,-1.5,-1.405,-0.094,3830.0,Liq,120.98,Haloalkenes
127-18-4,TETRACHLOROETHENE,4,3.4,-2.919,-3.092,0.173,200.0,Liq,165.83,Haloalkenes
156-59-2,"1,2-DICHLOROETHENE (CIS)",4,1.86,-1.442,-1.397,-0.046,3500.0,Liq,96.94,Haloalkenes
156-60-5,"1,2-DICHLOROETHENE (TRANS)",4,2.09,-1.187,-1.618,0.43,6300.0,Liq,96.94,Haloalkenes
540-59-0,"1,2-DICHLOROETHYLENE",4,1.86,-1.442,-1.397,-0.046,3500.0,Liq,96.94,Haloalkenes
593-60-2,BROMOETHENE,4,1.57,-1.275,-1.15,-0.125,5680.0,Liq,106.96,Haloalkenes
5162-44-7,4-BROMO-1-BUTENE,4,2.53,-2.247,-2.16,-0.088,764.0,Liq,135.01,Haloalkenes
25429-23-6,"1,2-DIBROMOETHENE",4,1.76,-1.742,-1.58,-0.162,3370.0,Liq,185.86,Haloalkenes
627-19-0,1-PENTYNE,5,1.98,-1.637,-1.862,0.225,1570.0,Liq,68.12,Alkynes
693-02-7,1-HEXYNE,5,2.73,-2.277,-2.582,0.306,360.0,Liq,68.12,Alkynes
60-29-7,DIETHYL ETHER,6,0.89,-0.089,-0.394,0.305,60400.0,Liq,74.12,"Ethers, aliphatic"
105-57-7,"1,1-DIETHOXYETHANE",6,0.84,-0.429,-0.484,0.055,44000.0,Liq,118.18,"Ethers, aliphatic"
108-20-3,DI-ISOPROPYL ETHER,6,1.52,-1.708,-1.087,-0.621,2000.0,Liq,102.18,"Ethers, aliphatic"
109-59-1,ISOPROPOXYETHANOL,6,0.05,0.982,0.742,0.24,1000000.0,Liq,104.15,"Ethers, aliphatic"
109-86-4,2-METHOXYETHANOL,6,-0.77,1.119,1.119,0.0,1000000.0,Liq,76.1,"Ethers, aliphatic"
109-87-5,DIMETHOXYMETHANE,6,0.0,0.506,0.454,0.052,244000.0,Liq,76.1,"Ethers, aliphatic"
109-92-2,ETHYL VINYL ETHER,6,1.04,-0.858,-0.532,-0.326,10000.0,Liq,72.11,"Ethers, aliphatic"
109-99-9,TETRAHYDROFURAN,6,0.46,1.142,0.025,1.117,1000000.0,Liq,72.11,"Ethers, aliphatic"
110-71-4,ETHYLENE GLYCOL DIMETHYL ETHER,6,-0.21,1.045,0.612,0.433,1000000.0,Liq,90.12,"Ethers, aliphatic"
110-80-5,2-ETHOXYETHANOL,6,-0.1,1.045,0.93,0.115,1000000.0,Liq,90.12,"Ethers, aliphatic"
110-88-3,"1,3,5-TRIOXANE",6,-1.74,0.288,1.045,-0.757,175000.0,64.0,90.08,"Ethers, aliphatic"
111-43-3,DI(N-PROPYL) ETHER,6,2.03,-1.319,-1.576,0.257,4900.0,Liq,102.18,"Ethers, aliphatic"
111-44-4,BIS(2-CHLOROETHYL) ETHER,6,1.29,-0.92,-0.994,0.074,17200.0,Liq,143.01,"Ethers, aliphatic"
111-76-2,ETHYLENE GLYCOL N-BUTYL ETHER,6,0.83,0.927,-0.051,0.978,1000000.0,Liq,118.18,"Ethers, aliphatic"
111-90-0,DIETHYLENE GLYCOL MONOETHYL ETHER,6,-0.54,0.872,0.872,0.0,1000000.0,Liq,134.18,"Ethers, aliphatic"
111-96-6,2-METHOXYETHYLETHER,6,-0.36,0.872,0.617,0.255,1000000.0,Liq,134.18,"Ethers, aliphatic"
112-25-4,2-HEXYLOXYETHANOL,6,1.86,-1.169,-1.128,-0.042,9900.0,Liq,146.23,"Ethers, aliphatic"
112-36-7,2-ETHOXYETHYLETHER,6,0.39,0.79,-0.191,0.98,1000000.0,Liq,162.23,"Ethers, aliphatic"
112-48-1,"1,2-DIBUTYOXYETHANE",6,2.48,-1.94,-2.235,0.295,2000.0,Liq,174.29,"Ethers, aliphatic"
112-73-2,DIETHYLENE GLYCOL DIBUTYL ETHER,6,1.92,-1.862,-1.836,-0.026,3000.0,Liq,218.34,"Ethers, aliphatic"
115-10-6,DIMETHYL ETHER,6,0.1,0.884,0.453,0.432,353000.0,Liq,46.07,"Ethers, aliphatic"
123-63-7,PARALDEHYDE,6,0.67,-0.072,-0.365,0.293,112000.0,Liq,132.16,"Ethers, aliphatic"
123-91-1,"1,4-DIOXANE",6,-0.27,1.055,0.676,0.379,1000000.0,Liq,88.11,"Ethers, aliphatic"
142-68-7,TETRAHYDROPYRAN,6,0.64,-0.031,-0.192,0.161,80200.0,Liq,86.13,"Ethers, aliphatic"
142-96-1,DI-N-BUTYL ETHER,6,3.08,-2.638,-2.673,0.035,300.0,Liq,130.23,"Ethers, aliphatic"
462-95-3,DIETHOXYMETHANE,6,0.84,-0.173,-0.44,0.268,70000.0,Liq,104.15,"Ethers, aliphatic"
629-14-1,"1,2-DIETHOXYETHANE",6,0.62,-0.15,-0.273,0.123,83700.0,Liq,118.18,"Ethers, aliphatic"
646-06-0,"1,3-DIOXALANE",6,-0.37,1.13,0.816,0.315,1000000.0,Liq,74.08,"Ethers, aliphatic"
1634-04-4,METHYL T-BUTYL ETHER,6,1.24,-0.238,-0.774,0.536,51000.0,Liq,88.15,"Ethers, aliphatic"
13838-16-9,ETHRANE [HALOETHER],6,2.1,-1.516,-1.902,0.386,5620.0,Liq,184.49,"Ethers, aliphatic"
26675-46-7,ISOFLURANE,6,2.06,-1.616,-1.864,0.248,4470.0,Liq,184.49,"Ethers, aliphatic"
55-18-5,N-NITROSODIETHYLAMINE,7,0.48,0.016,-0.088,0.104,106000.0,Liq,102.14,Nitroso
59-89-2,N-NITROSOMORPHOLINE,7,-0.44,0.935,0.714,0.221,1000000.0,29.0,116.12,Nitroso
62-75-9,N-NITROSODIMETHYLAMINE,7,-0.57,1.13,1.008,0.123,1000000.0,Liq,74.08,Nitroso
86-30-6,DIPHENYLNITROSAMINE,7,3.13,-3.753,-3.32,-0.433,35.0,67.0,198.23,Nitroso
131-91-9,1-NITROSO-2-NAPHTHOL,7,2.28,-2.238,-1.856,-0.383,1000.0,109.5,173.17,Nitroso
132-53-6,2-NITROSO-1-NAPHTHOL,7,2.57,-2.54,-2.571,0.032,500.0,157.0,173.17,Nitroso
601-77-4,DI-I-PROPYLNITROSOAMINE,7,1.63,-1.001,-1.28,0.28,13000.0,Liq,130.19,Nitroso
621-64-7,N-NITROSODIPROPYLAMINE,7,1.36,-1.001,-1.021,0.021,13000.0,Liq,130.19,Nitroso
924-16-3,N-NITROSODIBUTYLAMINE,7,1.92,-2.096,-1.647,-0.449,1270.0,Liq,158.25,Nitroso
4549-44-4,N-NITROSOETHYL-N-BUTYLAMINE,7,1.63,-1.035,-1.28,0.245,12000.0,Liq,130.19,Nitroso
7068-83-9,N-NITROSO-N-METHYLBUTYLAMINE,7,1.08,-0.7,-0.708,0.009,23200.0,Liq,116.16,Nitroso
10595-95-6,N-METHYL-N-NITROSOETHAMINE,7,0.04,0.532,0.378,0.154,300000.0,Liq,88.11,Nitroso
50-18-0,CYCLOPHOSPHAMIDE,8,0.63,-0.815,-0.897,0.082,40000.0,43.0,261.09,Pesticides
50-29-3,"P,P'-DDT",8,6.94,-7.809,-7.855,0.046,0.0055,109.0,354.49,Pesticides
52-68-6,TRICHLORFON,8,0.51,-0.331,-0.719,0.387,120000.0,83.5,257.44,Pesticides
55-38-9,FENTHION,8,4.09,-4.569,-4.107,-0.462,7.5,Liq,278.33,Pesticides
56-38-2,PARATHION,8,3.83,-4.649,-4.403,-0.246,6.54,Liq,291.26,Pesticides
57-74-9,CHLORDANE,8,6.0,-6.864,-7.09,0.225,0.056,105.0,409.78,Pesticides
60-51-5,DIMETHOATE,8,0.5,-0.962,-0.755,-0.207,25000.0,52.0,229.26,Pesticides
60-57-1,DIELDRIN,8,5.4,-6.291,-7.071,0.781,0.195,175.5,380.91,Pesticides
62-38-4,PHENYLMERCURIC ACETATE,8,0.71,-2.226,-2.182,-0.044,2000.0,148.5,336.74,Pesticides
62-73-7,DICHLORVOS,8,1.16,-1.344,-1.114,-0.23,10000.0,Liq,220.98,Pesticides
63-25-2,1-NAPHTHYL-N-METHYLCARBAMATE,8,2.36,-3.387,-3.281,-0.106,82.6,142.0,201.23,Pesticides
72-20-8,ENDRIN,8,5.2,-6.183,-7.188,1.005,0.25,209.0,380.91,Pesticides
72-43-5,METHOXYCHLOR,8,4.95,-6.539,-5.733,-0.806,0.1,89.0,345.66,Pesticides
72-54-8,"P,P'-DDD",8,6.02,-6.551,-6.868,0.317,0.09,109.5,320.05,Pesticides
72-55-9,"P,P'-DDE",8,6.51,-6.9,-7.144,0.243,0.04,89.0,318.03,Pesticides
76-44-8,HEPTACHLOR,8,5.5,-6.317,-6.408,0.091,0.18,95.5,373.32,Pesticides
78-48-8,DEF,8,5.7,-5.634,-5.766,0.132,0.73,Liq,314.51,Pesticides
81-81-2,WARFARIN,8,2.52,-4.259,-3.945,-0.313,17.0,161.0,308.34,Pesticides
86-50-0,METHYL AZINPHOS,8,2.75,-4.181,-3.73,-0.451,20.9,73.5,317.33,Pesticides
88-85-7,DINOSEB,8,3.69,-3.665,-3.741,0.077,52.0,40.0,240.22,Pesticides
93-65-2,MECOPROP,8,3.13,-2.539,-2.975,0.436,620.0,94.5,214.65,Pesticides
93-72-1,SILVEX,8,3.13,-3.579,-3.949,0.369,71.0,181.6,269.51,Pesticides
93-76-5,"2,4,5-TRICHLOROPHENOXYACETIC ACID",8,3.31,-2.963,-3.828,0.865,278.0,154.5,255.49,Pesticides
94-75-7,"2,4-DICHLOROPHENOXYACETIC ACID",8,2.81,-2.514,-3.111,0.597,677.0,140.5,221.04,Pesticides
94-82-6,"2,4-DB",8,3.53,-3.672,-3.683,0.011,53.0,118.0,249.1,Pesticides
96-64-0,SOMAN,8,1.78,-0.938,-1.588,0.649,21000.0,Liq,182.18,Pesticides
97-17-6,DICHLOFENTHION,8,5.14,-6.109,-5.231,-0.879,0.245,Liq,315.16,Pesticides
101-05-3,ANILAZINE,8,3.88,-4.537,-5.134,0.597,8.0,159.5,275.53,Pesticides
101-21-3,CHLORPROPHAM,8,3.51,-3.38,-3.498,0.118,89.0,41.4,213.67,Pesticides
101-42-8,FENURON,8,0.98,-1.61,-1.757,0.147,4030.0,133.0,164.21,Pesticides
108-60-1,DCIP,8,2.48,-2.003,-2.225,0.222,1700.0,Liq,171.07,Pesticides
114-26-1,PROPOXUR,8,1.45,-2.051,-1.968,-0.084,1860.0,91.5,209.25,Pesticides
115-32-2,DICOFOL,8,5.02,-5.448,-5.348,-0.1,1.32,77.5,370.49,Pesticides
115-90-2,FENSULFOTHION,8,2.23,-2.188,-2.416,0.228,2000.0,Liq,308.36,Pesticides
116-06-3,ALDICARB,8,1.13,-1.499,-1.67,0.171,6030.0,99.0,190.27,Pesticides
120-36-5,DICHLORPROP,8,3.43,-2.827,-3.543,0.716,350.0,118.0,235.07,Pesticides
121-75-5,MALATHION,8,2.36,-3.364,-2.61,-0.754,143.0,Liq,330.36,Pesticides
122-14-5,FENITROTHION,8,3.38,-3.863,-3.927,0.064,38.0,Liq,277.24,Pesticides
122-34-9,SIMAZINE,8,2.18,-4.549,-3.887,-0.662,5.7,226.5,201.66,Pesticides
122-42-9,ISOPROPYL PHENYL CARBAMATE,8,2.6,-3.001,-2.936,-0.065,179.0,87.0,179.22,Pesticides
133-06-2,CAPTAN,8,2.35,-4.77,-3.914,-0.856,5.1,178.0,300.59,Pesticides
139-40-2,PROPAZINE,8,2.93,-4.427,-4.57,0.144,8.6,213.0,229.71,Pesticides
141-66-2,DICROTOPHOS,8,-0.49,0.625,0.419,0.206,1000000.0,Liq,237.19,Pesticides
150-68-5,MONURON,8,1.94,-2.936,-3.187,0.25,230.0,176.5,198.65,Pesticides
298-00-0,PARATHION METHYL,8,2.86,-3.844,-3.48,-0.363,37.7,35.5,263.21,Pesticides
298-02-2,PHORATE,8,3.83,-3.717,-3.801,0.085,50.0,Liq,260.38,Pesticides
298-04-4,DISULFOTON,8,4.02,-4.226,-4.028,-0.199,16.3,Liq,274.41,Pesticides
299-84-3,RONNEL,8,4.98,-5.507,-5.244,-0.263,1.0,41.0,321.55,Pesticides
299-85-4,DMPA,8,4.3,-4.798,-4.664,-0.134,5.0,51.4,314.17,Pesticides
299-86-5,CRUFOMATE,8,3.42,-3.164,-3.831,0.667,200.0,60.3,291.72,Pesticides
300-76-5,NALED,8,1.38,-2.28,-1.827,-0.452,2000.0,Liq,380.8,Pesticides
309-00-2,ALDRIN,8,6.5,-7.332,-7.424,0.092,0.017,104.5,364.92,Pesticides
311-45-5,PARAOXON,8,1.98,-2.059,-2.577,0.517,2400.0,Liq,275.2,Pesticides
314-40-9,BROMACIL,8,2.11,-2.506,-3.379,0.873,815.0,158.3,261.13,Pesticides
327-98-0,TRICHLORONATE,8,5.23,-5.752,-5.375,-0.377,0.59,Liq,333.6,Pesticides
330-54-1,DIURON,8,2.77,-3.744,-3.922,0.177,42.0,158.0,233.1,Pesticides
330-55-2,LINURON,8,3.2,-3.521,-3.791,0.27,75.0,93.5,249.1,Pesticides
333-41-5,DIAZINON,8,3.81,-3.881,-3.92,0.039,40.0,Liq,304.35,Pesticides
470-90-6,CHLORFENVINPHOS,8,3.82,-3.462,-4.103,0.641,124.0,Liq,359.58,Pesticides
494-52-0,ANABASINE,8,0.97,0.79,0.79,0.0,1000000.0,Liq,162.24,Pesticides
500-28-7,3-CHLORO-DIMETHYL PARATHION,8,3.45,-3.872,-4.058,0.187,40.0,Liq,297.66,Pesticides
555-37-3,NEBURON,8,3.8,-4.758,-4.523,-0.236,4.8,101.5,275.18,Pesticides
556-61-6,METHYL ISOTHIOCYANATE,8,0.94,-0.983,-0.531,-0.452,7600.0,35.0,73.12,Pesticides
563-12-2,ETHION,8,5.07,-5.284,-5.381,0.097,2.0,Liq,384.48,Pesticides
592-35-8,O-BUTYL CARBAMATE,8,0.85,-0.657,-0.73,0.073,25800.0,51.0,117.15,Pesticides
598-55-0,O-METHYL CARBAMATE,8,-0.66,0.964,0.843,0.121,691000.0,52.0,75.07,Pesticides
627-12-3,O-PROPYLCARBAMATE,8,0.36,-0.13,-0.298,0.168,76400.0,60.0,103.12,Pesticides
709-98-8,PROPANIL,8,3.07,-2.986,-3.491,0.504,225.0,85.0,218.08,Pesticides
732-11-6,PHOSMET,8,2.83,-4.114,-3.457,-0.657,24.4,72.5,317.32,Pesticides
759-94-4,EPTAM (EPTC),8,3.21,-2.703,-2.983,0.28,375.0,Liq,189.32,Pesticides
786-19-6,CARBOPHENTHION,8,5.33,-5.736,-5.5,-0.236,0.63,Liq,342.87,Pesticides
834-12-8,AMETRYNE,8,2.98,-3.037,-3.424,0.388,209.0,84.0,227.33,Pesticides
886-50-0,TERBUTRYN,8,3.74,-3.985,-4.382,0.397,25.0,104.0,241.36,Pesticides
944-22-9,FONOPHOS,8,3.94,-4.159,-3.8,-0.359,15.7,Liq,226.34,Pesticides
950-37-8,METHIDATHION,8,2.42,-3.209,-2.713,-0.496,187.0,39.5,302.33,Pesticides
953-17-3,CARBOPHENOTHION-METHYL,8,4.82,-5.294,-4.923,-0.371,1.6,Liq,314.81,Pesticides
959-98-8,A-ENDOSULFAN,8,3.83,-5.902,-5.954,0.052,0.51,209.0,406.93,Pesticides
961-11-5,STIROFOS,8,3.53,-4.522,-4.512,-0.01,11.0,97.5,365.97,Pesticides
999-81-5,CHLORMEQUAT CHLORIDE,8,-3.8,0.799,0.801,-0.002,996000.0,245.0,158.07,Pesticides
1014-70-6,SIMETRYN,8,2.54,-2.676,-2.939,0.264,450.0,82.0,213.31,Pesticides
1024-57-3,HEPTACHLOR EPOXIDE,8,4.98,-6.289,-6.552,0.263,0.2,160.0,389.32,Pesticides
1129-41-5,N-METHYL-M-TOLYLCARBAMATE,8,1.7,-1.803,-1.931,0.128,2600.0,76.5,165.19,Pesticides
1563-66-2,CARBOFURAN,8,2.32,-2.84,-3.388,0.548,320.0,151.0,221.26,Pesticides
1582-09-8,TRIFLURALIN,8,5.34,-6.048,-6.212,0.164,0.3,49.0,335.29,Pesticides
1610-18-0,PROMETON,8,2.99,-2.478,-3.496,1.019,750.0,91.5,225.3,Pesticides
1646-88-4,ALDICARB SULFONE,8,-0.57,-1.347,-1.39,0.043,10000.0,141.0,222.26,Pesticides
1698-60-8,CHLORIDAZON,8,1.14,-2.744,-2.772,0.028,400.0,207.0,221.65,Pesticides
1746-81-2,MONOLINURON,8,2.3,-2.363,-2.704,0.341,930.0,81.0,214.65,Pesticides
1836-75-5,NITROFEN,8,4.64,-5.453,-5.577,0.123,1.0,70.5,284.1,Pesticides
1836-77-7,CHLORNITROFEN,8,4.97,-5.62,-6.006,0.386,0.764,71.0,318.55,Pesticides
1861-32-1,DIMETHYL TETRACHLOROTEREPHTHALATE,8,4.4,-5.822,-5.778,-0.044,0.5,156.0,331.97,Pesticides
1897-45-6,CHLOROTHANONIL,8,3.05,-5.647,-5.502,-0.145,0.6,250.0,265.91,Pesticides
1912-24-9,ATRAZINE,8,2.75,-3.887,-3.976,0.09,28.0,172.0,215.69,Pesticides
1912-26-1,TRIETAZINE,8,3.34,-4.06,-3.934,-0.126,20.0,101.0,229.71,Pesticides
1918-00-9,DICAMBA,8,2.21,-1.691,-2.052,0.361,4500.0,115.0,221.04,Pesticides
1918-16-7,PROPACHLOR,8,2.18,-2.481,-2.451,-0.03,700.0,67.0,211.69,Pesticides
