Author	License	Name	URL	Version	File
Daniele Varrazzo	GNU Lesser General Public License v3 (LGPLv3)	psycopg	https://psycopg.org/psycopg3/	3.2.10	cmdbox\licenses\LICENSE_psycopg_3_2_10_GNU_Lesser_General_Public_License_v3-LGPLv3.txt
Daniele Varrazzo	GNU Lesser General Public License v3 (LGPLv3)	psycopg-binary	https://psycopg.org/psycopg3/	3.2.10	cmdbox\licenses\LICENSE_psycopg-binary_3_2_10_GNU_Lesser_General_Public_License_v3-LGPLv3.txt
Eli Bendersky	BSD License	pycparser	https://github.com/eliben/pycparser	2.23	cmdbox\licenses\LICENSE_pycparser_2_23_BSD_License.txt
Helder Eijs	BSD License; Public Domain	pycryptodome	https://www.pycryptodome.org	3.23.0	cmdbox\licenses\LICENSE_pycryptodome_3_23_0_BSD_License-Public_Domain.txt
Samuel Colvin <s@muelcolvin.com>, Eric Jolibois <em.jolibois@gmail.com>, Hasan Ramezani <hasan.r67@gmail.com>, Adrian Garcia Badaracco <1755071+adriangb@users.noreply.github.com>, Terrence Dorsey <terry@pydantic.dev>, David Montague <david@pydantic.dev>, Serge Matveenko <lig@countzero.co>, Marcelo Trylesinski <marcelotryle@gmail.com>, Sydney Runkle <sydneymarierunkle@gmail.com>, David Hewitt <mail@davidhewitt.io>, Alex Hall <alex.mojaki@gmail.com>, Victorien Plot <contact@vctrn.dev>	MIT License	pydantic	https://github.com/pydantic/pydantic	2.11.9	cmdbox\licenses\LICENSE_pydantic_2_11_9_MIT_License.txt
Samuel Colvin <s@muelcolvin.com>, Adrian Garcia Badaracco <1755071+adriangb@users.noreply.github.com>, David Montague <david@pydantic.dev>, David Hewitt <mail@davidhewitt.dev>, Sydney Runkle <sydneymarierunkle@gmail.com>, Victorien Plot <contact@vctrn.dev>	MIT License	pydantic_core	https://github.com/pydantic/pydantic-core	2.33.2	cmdbox\licenses\LICENSE_pydantic_core_2_33_2_MIT_License.txt
Moses Palmér	GNU Lesser General Public License v3 (LGPLv3)	pystray	https://github.com/moses-palmer/pystray	0.19.5	cmdbox\licenses\LICENSE_pystray_0_19_5_GNU_Lesser_General_Public_License_v3-LGPLv3.txt
Andrew Dunham <andrew@du.nham.ca>, Marcelo Trylesinski <marcelotryle@gmail.com>	Apache Software License	python-multipart	https://github.com/Kludex/python-multipart	0.0.20	cmdbox\licenses\LICENSE_python-multipart_0_0_20_Apache_Software_License.txt
Enthought Inc.	BSD-3-Clause	pywin32-ctypes	https://github.com/enthought/pywin32-ctypes	0.2.3	cmdbox\licenses\LICENSE_pywin32-ctypes_0_2_3_BSD-3-Clause.txt
Tom Bocklisch	MIT License	questionary	https://github.com/tmbo/questionary	2.1.1	cmdbox\licenses\LICENSE_questionary_2_1_1_MIT_License.txt
The Python Packaging Authority <admin@mail.pypi.org>	Apache Software License	readme_renderer	UNKNOWN	44.0	cmdbox\licenses\LICENSE_readme_renderer_44_0_Apache_Software_License.txt
"Redis Inc." <oss@redis.com>	MIT License	redis	https://github.com/redis/redis-py	6.4.0	cmdbox\licenses\LICENSE_redis_6_4_0_MIT_License.txt
Kenneth Reitz	Apache Software License	requests	https://requests.readthedocs.io	2.32.5	cmdbox\licenses\LICENSE_requests_2_32_5_Apache_Software_License.txt
Ian Cordasco, Cory Benfield	Apache Software License	requests-toolbelt	https://toolbelt.readthedocs.io/	1.0.0	cmdbox\licenses\LICENSE_requests-toolbelt_1_0_0_Apache_Software_License.txt
Ian Stapleton Cordasco	Apache Software License	rfc3986	http://rfc3986.readthedocs.io	2.0.0	cmdbox\licenses\LICENSE_rfc3986_2_0_0_Apache_Software_License.txt
Will McGugan	MIT License	rich	https://github.com/Textualize/rich	14.1.0	cmdbox\licenses\LICENSE_rich_14_1_0_MIT_License.txt
Adam Turner	CC0 1.0 Universal (CC0 1.0) Public Domain Dedication; Zero-Clause BSD (0BSD)	roman-numerals-py	https://github.com/AA-Turner/roman-numerals/blob/master/CHANGES.rst	3.1.0	cmdbox\licenses\LICENSE_roman-numerals-py_3_1_0_CC0_1_0_Universal-CC0_1_0-Public_Domain_Dedication-Zero-Clause_BSD-0BSD.txt
Python Packaging Authority <distutils-sig@python.org>	UNKNOWN	setuptools	https://github.com/pypa/setuptools	80.9.0	cmdbox\licenses\LICENSE_setuptools_80_9_0_UNKNOWN.txt
Benjamin Peterson	MIT License	six	https://github.com/benjaminp/six	1.17.0	cmdbox\licenses\LICENSE_six_1_17_0_MIT_License.txt
"Nathaniel J. Smith" <njs@pobox.com>	Apache Software License; MIT License	sniffio	https://github.com/python-trio/sniffio	1.3.1	cmdbox\licenses\LICENSE_sniffio_1_3_1_Apache_Software_License-MIT_License.txt
Snowball Developers	BSD License	snowballstemmer	https://github.com/snowballstem/snowball	3.0.1	cmdbox\licenses\LICENSE_snowballstemmer_3_0_1_BSD_License.txt
Takayuki SHIMIZUKAWA <shimizukawa@gmail.com>	UNKNOWN	sphinx-intl	https://github.com/sphinx-doc/sphinx-intl	2.3.2	cmdbox\licenses\LICENSE_sphinx-intl_2_3_2_UNKNOWN.txt
Matthias Geier	BSD License	sphinx-last-updated-by-git	https://github.com/mgeier/sphinx-last-updated-by-git/	0.3.8	cmdbox\licenses\LICENSE_sphinx-last-updated-by-git_0_3_8_BSD_License.txt
Dave Snider, Read the Docs, Inc. & contributors	MIT License	sphinx-rtd-theme	https://github.com/readthedocs/sphinx_rtd_theme	3.0.2	cmdbox\licenses\LICENSE_sphinx-rtd-theme_3_0_2_MIT_License.txt
Jared Dillard <jared.dillard@gmail.com>	UNKNOWN	sphinx-sitemap	https://github.com/jdillard/sphinx-sitemap	2.8.0	cmdbox\licenses\LICENSE_sphinx-sitemap_2_8_0_UNKNOWN.txt
Frﾃｩdﾃｩric Aoustin	GNU General Public License v2 (GPLv2)	sphinx_fontawesome	https://github.com/fraoustin/sphinx_fontawesome	0.0.6	cmdbox\licenses\LICENSE_sphinx_fontawesome_0_0_6_GNU_General_Public_License_v2-GPLv2.txt
Georg Brandl <georg@python.org>	BSD License	sphinxcontrib-applehelp	https://www.sphinx-doc.org/	2.0.0	cmdbox\licenses\LICENSE_sphinxcontrib-applehelp_2_0_0_BSD_License.txt
Georg Brandl <georg@python.org>	BSD License	sphinxcontrib-devhelp	https://www.sphinx-doc.org/	2.0.0	cmdbox\licenses\LICENSE_sphinxcontrib-devhelp_2_0_0_BSD_License.txt
Georg Brandl <georg@python.org>	BSD License	sphinxcontrib-htmlhelp	https://www.sphinx-doc.org/	2.1.0	cmdbox\licenses\LICENSE_sphinxcontrib-htmlhelp_2_1_0_BSD_License.txt
Adam Turner	BSD License	sphinxcontrib-jquery	https://github.com/sphinx-contrib/jquery/	4.1	cmdbox\licenses\LICENSE_sphinxcontrib-jquery_4_1_BSD_License.txt
Georg Brandl	BSD License	sphinxcontrib-jsmath	http://sphinx-doc.org/	1.0.1	cmdbox\licenses\LICENSE_sphinxcontrib-jsmath_1_0_1_BSD_License.txt
Georg Brandl <georg@python.org>	BSD License	sphinxcontrib-qthelp	https://www.sphinx-doc.org/	2.0.0	cmdbox\licenses\LICENSE_sphinxcontrib-qthelp_2_0_0_BSD_License.txt
Georg Brandl <georg@python.org>	BSD License	sphinxcontrib-serializinghtml	https://www.sphinx-doc.org/	2.0.0	cmdbox\licenses\LICENSE_sphinxcontrib-serializinghtml_2_0_0_BSD_License.txt
Tom Christie <tom@tomchristie.com>, Marcelo Trylesinski <marcelotryle@gmail.com>	BSD License	starlette	https://github.com/Kludex/starlette	0.48.0	cmdbox\licenses\LICENSE_starlette_0_48_0_BSD_License.txt
Sergey Astanin <s.astanin@gmail.com>	MIT License	tabulate	https://github.com/astanin/python-tabulate	0.9.0	cmdbox\licenses\LICENSE_tabulate_0_9_0_MIT_License.txt
Taneli Hukkinen <hukkin@users.noreply.github.com>	MIT License	tomli	https://github.com/hukkin/tomli	2.2.1	cmdbox\licenses\LICENSE_tomli_2_2_1_MIT_License.txt
Donald Stufft and individual contributors <donald@stufft.io>	UNKNOWN	twine	https://twine.readthedocs.io/	6.2.0	cmdbox\licenses\LICENSE_twine_6_2_0_UNKNOWN.txt
Victorien Plot <contact@vctrn.dev>	UNKNOWN	typing-inspection	https://github.com/pydantic/typing-inspection	0.4.1	cmdbox\licenses\LICENSE_typing-inspection_0_4_1_UNKNOWN.txt
"Guido van Rossum, Jukka Lehtosalo, Łukasz Langa, Michael Lee" <levkivskyi@gmail.com>	UNKNOWN	typing_extensions	https://github.com/python/typing_extensions	4.15.0	cmdbox\licenses\LICENSE_typing_extensions_4_15_0_UNKNOWN.txt
Python Software Foundation	Apache Software License	tzdata	https://github.com/python/tzdata	2025.2	cmdbox\licenses\LICENSE_tzdata_2025_2_Apache_Software_License.txt
Andrey Petrov <andrey.petrov@shazow.net>	UNKNOWN	urllib3	https://github.com/urllib3/urllib3/blob/main/CHANGES.rst	2.5.0	cmdbox\licenses\LICENSE_urllib3_2_5_0_UNKNOWN.txt
Jeff Quast	MIT License	wcwidth	https://github.com/jquast/wcwidth	0.2.13	cmdbox\licenses\LICENSE_wcwidth_0_2_13_MIT_License.txt
Daniel Holth <dholth@fastmail.fm>	MIT License	wheel	https://github.com/pypa/wheel	0.45.1	cmdbox\licenses\LICENSE_wheel_0_45_1_MIT_License.txt
Benno Rice	MIT License	wsproto	https://github.com/python-hyper/wsproto/	1.2.0	cmdbox\licenses\LICENSE_wsproto_1_2_0_MIT_License.txt
"Jason R. Coombs" <jaraco@jaraco.com>	UNKNOWN	zipp	https://github.com/jaraco/zipp	3.23.0	cmdbox\licenses\LICENSE_zipp_3_23_0_UNKNOWN.txt
Zope Foundation and Contributors	Zope Public License	zope.event	https://github.com/zopefoundation/zope.event	6.0	cmdbox\licenses\LICENSE_zope_event_6_0_Zope_Public_License.txt
Zope Foundation and Contributors	Zope Public License	zope.interface	https://github.com/zopefoundation/zope.interface	8.0	cmdbox\licenses\LICENSE_zope_interface_8_0_Zope_Public_License.txt
