aaa	GHOTUO
ana	ANDAQUI
anb	ANDOA
and	ANSUS
ane	XARACUU
anf	ANIMERE
ang	OLD_ENGLISH
anh	NEND
ani	ANDI
anj	ANOR
ank	GOEMAI
anl	HKONGSO
anm	ANAL
ann	OBOLO
ano	ANDOQUE
anp	ANGIKA
anq	JARAWA
anu	ANYUAK
anw	ANAANG
anx	HUS
anz	ANEM
aoa	ANGOLAR
aob	ABOM
aoc	PEMON
aod	ANDARUM
aoe	NEMBI
aof	BRAGAT
aog	ANGORAM
aoi	INGURA
aoj	MUFIAN
aol	ALOR
aom	OMIE
aor	AORE
aos	TAIKAT
aot	A_TONG
aoz	UAB_METO
apb	SAA
apd	SUDANESE_ARABIC
ape	BUKIYIP
aph	ATHPARE
api	APIAKA
apj	JICARILLA_APACHE
apk	KIOWA_APACHE
apl	LIPAN
apm	CHIRICAHUA
apn	APINAYE
app	APMA
apq	SOUTH_ANDAMAN
apr	AROP_LOKEP
aps	AROP_SISSANO
apt	APATANI
apu	APURINA
apw	SAN_CARLOS
apx	APUTAI
apy	APALAI
apz	AMPALE
aqc	ARCHI
aqd	AMPARI_PA
aqg	ARIGIDI
aqm	ATOHWAIM
aqn	ALTA_NORTHERN
aqp	ATAKAPA
aqt	SANAPANA_ANGAITE
aqz	AKUNTSU
arb	STANDARD_ARABIC
ard	ARABANA
are	ARRARNTA_WESTERN
arg	ARAGONESE
arh	IKA
ari	ARIKARA
ark	ARIKAPU
arl	ARABELA
arn	MAPUDUNGUN
aro	ARAONA
arp	ARAPAHO
arq	DELLYS
arr	KARO_BRAZIL
ars	NAJDI_ARABIC
arv	ARBORE
arw	LOKONO
ary	MOROCCAN_ARABIC
arz	CAIRO_ARABIC
asa	ASU_TANZANIA
asb	ASSINIBOINE
asc	CASUARINA_COAST_ASMAT
asg	CISHINGINI
asi	ASIENARA
asj	SARI
ask	ASHKUN
asl	ASILULU
asm	ASSAMESE
asn	ASURINI_XINGU
aso	DANO
ass	IPULO
ast	ASTURIAN
asu	ASURINI
asv	ASOA
asx	MURATAYAK
asy	ASMAT_YAOSAKOR
asz	AS
ata	PELE_ATA
atb	ZAIWA
atd	MANOBO_ATA
ate	ATEMPLE
ati	ATTIE
atj	ATIKAMEKW
atk	SOGODNIN_BORACAY
atr	WAIMIRI_ATROARI
ats	GROS_VENTRE
att	ATTA_PAMPLONA
atu	REEL
atv	NORTH_ALTAI
atw	ATSUGEWI
atx	AWAKE
atz	ARTA
aua	ASUMBOA
auc	WAORANI
aud	ANUTA
auh	AUSHI
aui	ANUKI
auj	AWJILAH
auk	HEYO
aul	AULUA
aum	ASU_NIGERIA
aun	MOLMO_ONE
aup	MAKAYAM
aur	ARUEK
aut	RURUTUAN
auu	AUYE
auw	AWJI
auy	AUYANA
avb	AVAU
ave	AVESTAN
avi	AVIKAM
avl	EASTERN_EGYPTIAN_BEDAWI_ARABIC
avn	SIDEME
avt	AU
avu	AVOKAYA
avv	AVA_CANOEIRO
awa	AWADHI
awb	AWA
awc	CICIPU
awe	AWETI
awg	ANGUTHIMRI
awh	AWBONO
awi	AEKYOM
awk	AWABAKAL
awm	ARAWUM
awn	AWNGI
awo	AWAK
awr	AWERA
aws	SIAGHA
awt	ARAWETE
awv	JAIR_AWYU
aww	AWUN
awx	AWARA
awy	SJIAGHA
axb	ABIPON
axk	YAKA_axk
aya	AWAR
ayb	AYIZO_GBE
ayc	SOUTHERN_AYMARA
aye	AYERE
ayg	GENYANGA
ayh	HADRAMI_ARABIC
ayi	LEYIGHA
ayn	YEMEN_SANAANI_ARABIC
ayo	AYOREO
ayp	NORTH_MESOPOTAMIAN_ARABIC
ayr	CENTRAL_AYMARA
ayu	AYU
ayz	MAI_BRAT
azb	AZERBAIJANI_SOUTHERN
azg	SAN_PEDRO_AMUZGOS_AMUZGO
azj	AZERBAIJANI_NORTH
azn	NAHUATL_SAN_AGUSTIN_DE_BUENAVENTURA
azo	AWING
azz	HIGHLAND_PUEBLA_NAHUATL
bae	BARE
baf	NUBACA
bag	TUKI
bak	BASHKIR
bam	BAMBARA
ban	BALI
bao	WAIMAHA
bap	BANTAWA
bar	BAVARIAN_GERMAN
bas	BASAA
bau	BADA
bav	VENGO
baw	BAMBILI
bax	BAMUN
bay	BATULEY
bba	BAATONUM
bbb	BARAI
bbc	TOBA_BATAK
bbd	BAU
bbe	BANGBA
bbf	BAIBAI
bbg	VARAMA
bbh	BUGAN
bbi	BAROMBI
bbk	BABANKI
bbl	BATS
bbm	BABANGO
bbn	BALI_VITU
bbo	NORTHERN_BOBO_MANDARE
bbr	GIRAWA
bbs	BAKPINKA
bbt	MBURKU
bbu	KULUNG_NIGERIA
bbv	BARIM
bbw	BABA
bby	MODELE
bcc	SOUTHERN_BALOCHI
bcd	NORTH_BABAR
bce	BAMENYAM
bcf	BAMU
bcg	BAGA_MBOTENI
bch	BARIAI
bci	BAULE
bcj	BARDI
bck	BUNABA
bcm	BANONI
bcn	BALI_NIGERIA
bco	KALULI
bcs	KOHUMONO
bct	BENDI
bcu	BILIAU
bcw	BANA
bcy	BACAMA
bcz	BAINOUK_GUNYAAMOLO
bda	BAYOT
bdd	BUNAMA
bde	BADE
bdf	BIAGE
bdg	BONGGI
bdh	BAKA_SUDAN
bdi	BURUN
bdj	BAI
bdk	BUDUKH
bdl	INDONESIAN_BAJAU
bdm	BUDUMA
bdo	MOROM
bdp	BENDE
bdq	BAHNAR
bdr	BAJAU_WEST_COAST
bds	BURUNGE
bdt	BOKOTO
bdu	OROKO
bdw	MBAHAM
bdx	BUDONG_BUDONG
bdy	WAALUBAL
bea	BEAVER
bed	YARIK
bee	BYANSI
bef	BENABENA
beg	BELAIT
beh	BIALI
bei	BEKATI
bej	BEJA
bek	BEBELI
bel	BELARUSIAN
bem	BEMBA
ben	BENGALI
beq	BEEMBE
bes	BESME
bet	BETE_GUIBEROUA
beu	BLAGAR
bev	BETE_DALOA
bew	BETAWI
bex	MODO
bey	BELI
bez	BENA
bfb	PAURI_BARELI
bfd	BAFUT
bfe	BETAF
bff	BOFI
bfh	BLAFE
bfj	BAFANJI
bfm	MMEN
bfn	BUNAQ
bfp	BEBA
bfq	BADAGA
bfu	BUNAN
bfw	REMO
bfy	BAGHELI
bfz	PAHARI_MAHASU
bga	GWAMHI_WURI
bgc	HARYANVI
bgf	BANGANDU
bgg	BUGUN
bgj	BANGOLAN
bgk	BIT
bgn	BALOCHI_WESTERN
bgo	BAGA_KOBA
bgp	BALOCHI_EASTERN
bgq	BAGRI
bgr	BAWM
bgs	TAGABAWA
bgt	BUGHOTU
bgu	MBONGNO
bgv	WARKAJ
bgw	BHATRI
bgz	BANGGAI
bhc	BIGA
bhd	BHADRAWAHI
bhg	BINANDERE
bhj	BAHING
bhl	BIMIN
bho	BHOJPURI
bhp	BIMA
bhq	TUKANG_BESI_SOUTHERN
bhr	MALAGASY_BARA
bhs	BUWAL
bht	BHATTIYALI
bhw	BIAK
bhz	BADA_INDONESIA
bia	BADIMAYA
bib	BISA
bid	BIDIYA
bie	BEPOUR
bif	BIAFADA
big	BIANGAI
bil	BILE
bim	BIMOBA
bin	EDO
bio	NAI
bip	BIRA_BIP
biq	BIPI
bir	BIKARU
bis	BISLAMA
bit	BERINOMO
biv	BIRIFOR_SOUTHERN
biw	KOL
biy	BIRHOR
biz	BALOI
bjb	BANGGARLA
bjc	BARIJI
bje	SHUANGLONG_MIEN
bjh	BAHINEMO
bji	BURJI
bjk	BAROK
bjn	BANJARESE_MALAY
bjo	YAKPA
bjr	BINUMARIEN
bjt	BALANTA_GANJA
bjv	BEJOND
bjw	BAKWE
bjy	BAYALI
bjz	TAFOTA_BARUGA
bka	KYAK
bkc	BAKA
bkd	BINUKID
bkh	BAKOKO
bki	BAKI
bkj	PANDE
bkk	BROKSKAT
bkm	KOM
bkn	BUKITAN
bko	KWA_CAMEROON
bkp	BOKO_DRC
bkq	BAKAIRI
bks	NORTHERN_SORSOGON
bkv	BEKWARRA
bkw	BEKWEL
bkx	BAIKENO
bky	BOKYI
bla	BLACKFOOT
blb	BILUA
blc	BELLA_COOLA
ble	BALANTA_KENTOHE
blf	BUOL
blh	KUWAA
bli	BOLIA
blj	BOLONGAN
blk	KAREN_PAO
bll	BILOXI
blm	JUR_BELI_WULU
bln	SOUTHERN_CATANDUANES
blo	ANII
blp	BLABLANGA
blq	BALUAN_PAM
blr	PLANG
bls	BALAESANG
blt	BLACK_THAI
blv	BOLO
blw	BALANGAW
bly	NOTRE
bma	LAME
bmb	BEMBE
bmc	BIEM
bmd	BAGA_MADURI
bme	LIMASSA
bmf	BOM_SIERRA_LEONE
bmg	BAMWE
bmh	BEMAL
bmi	BAGIRMI
bmn	BINA
bmo	BAMBALANG
bmq	BOMU
bmr	MUINANE
bms	BILMA_KANURI
bmv	BUM
bmw	BOMWALI
bmx	BAIMAK
bmz	BARAMU
bna	BONERATE
bnd	ELAT_KEI_BESAR
bnf	MASIWANG
bng	BENGA
bni	BANGI
bnl	BOON
bnm	BATANGA
bnn	BUNUN
bno	BANTON_BANTOANON
bnp	BOLA
bnq	BANTIK
bns	BUNDELI
bnw	BISIS
bnx	BANGUBANGU
bny	BINTULU
bnz	BEEZEN
boa	BORA
bob	AWEER
boe	MUNDABLI
bof	BOLON
boh	BOMA
boi	CHUMASH_BARBARENO
boj	BOM
bok	IMPFONDO
bol	BOLE
boo	BOZO_TIEMA_CIEWE
boq	BOGAYA
bor	BORORO
bos	BOSNIAN
bot	BONGO
bou	BONDEI
bov	TUWULI
bow	REMA
box	BWAMU
boy	BODO
bpd	BANDA_BANDA
bpg	BONGGO
bph	BOTLIKH
bpi	BAGUPI
bpm	BIYOM
bpn	DAPING_MIEN
bpp	KAURE
bpr	BILAAN_KORONADAL
bps	BILAAN_SARANGANI
bpu	BONGU
bpv	MARIND_BIAN
bpw	BO
bqa	TCHUMBULI
bqb	BAGUSA
bqc	BOKO
bqg	BAGO_KUSUNTU
bqi	BAKHTIARI
bqj	BANDIAL
bql	BILAKURA
bqm	WUMBOKO
bqo	BALO
bqp	BUSA
bqq	BIRITAI
bqr	BURUSU
bqt	BAMUKUMBIT
bqv	BEGBERE_EJAR
bqw	BURU
bqz	BAKAKA
brb	LAVEH
brc	BERBICE_DUTCH_CREOLE
bre	BRETON
brf	BIRA
brg	BAURE
brh	BRAHUI
bri	MOKPWE
brj	BIERIA_VOVO
brk	BIRKED
brm	BARAMBU
brn	BORUCA
brp	BARAPASI
brq	BRERI
brr	MBIRAO
brt	NJWANDE
bru	BRU
brv	BRU_WESTERN_UnnamedInSource
brx	BODO_INDIA
bry	BURUI
brz	BILBIL
bsa	ABINOMN
bsb	BISAYA_BRUNEI
bsc	BASSARI
bse	WUSHI
bsf	MADAKA
bsg	BASHKARDI
bsh	EASTERN_KATIVIRI
bsi	MIENGE
bsk	BURUSHASKI
bsm	BUSAMI
bsn	BARASANO
bsp	BAGA_SITEMU
bsq	BASSA
bsr	BASSA_KONTAGORA
bst	BASKETO
bsw	BAISO
bsx	YANGKAM
bsy	BISAYA_SABAH
btd	BATAK_DAIRI
bte	GAMO_NINGI
btf	BIRGIT
bth	BIATAH_BIDAYUH
bti	BURATE
btj	BACANESE_MALAY
btm	BATAK_MANDAILING
btn	RATAGNON
bto	IRIGA
btr	BAETORA
bts	BATAK_SIMALUNGEN
btw	BUTUANON
btx	KARO_BATAK
bty	BOBOT
btz	BATA_ALAS_KLUET
bub	BUA
buc	BUSHI
bud	BASSARI
bue	BEOTHUK
buf	BUSHOONG
bug	BUGINESE
buh	YOUNUO_BUNU
buk	BUGAWAC
bul	BULGARIAN
bum	BULU
bun	SHERBRO
buo	BUIN
bup	BUSOA
buq	BUNABUN
bus	BOKOBARU
but	BUNGAIN
buu	BUDU
buv	BUN
bux	BOGHOM
bva	BAREIN
bvb	BUBE
bvc	MBAELELEA
bvd	MBAENGGUU
bvh	BURE
bvi	BELANDA_VIRI
bvj	BAN_OGOI
bvk	BUKAT
bvo	BOLGO
bvp	BUMANG
bvq	BIRRI_C_AFRICAN_REP
bvr	BURARRA
bvw	BOGA
bvz	BAUZI
bwc	BWILE
bwd	BWAIDOKA
bwe	BWE_KAREN
bwi	BANIWA
bwj	LAA_LAA_BWAMU
bwk	BAUWAKI
bwl	BWELA
bwm	BIWAT
bwo	SHINASSHA
bwp	MANDOBO_BAWAH
bwq	SOUTHERN_BOBO_MADARE
bwr	BURA
bws	BOMBOMA
bwt	BAFAW_BALONG
bwu	BULI_GHANA
bwz	BWISI
bxb	BELANDA_BOR
bxd	PELA
bxf	BILUR
bxg	BANGALA
bxh	BUHUTU
bxk	BUKUSU
bxl	BLE
bxm	BURIAT_MONGOLIA
bxq	BEELE
bxr	BURIAT_RUSSIA
bxv	BABILI
bxz	BINAHARI
bya	BATAK
byc	UBAGHARA
bye	POUYE
byg	BAYGO
byh	BUJHYAL
byk	SHIDONG_BIAO
byl	BAYONO
bym	BIDJARA
byn	BILIN
byq	BASAY
byr	BARUYA
bys	BURAK
byt	BERTI
byv	MEDUMBA
byw	BELHARE
byx	QAQET
byz	BANARO
bza	BANDI
bzd	BRIBRI
bze	BOZO_JENAAMA
bzf	BOIKIN
bzg	FAVORLANG
bzh	BUANG_MAPOS
bzi	BISU
bzj	BELIZE_KRIOL_ENGLISH
bzk	NICARAGUA_CREOLE_ENGLISH
bzl	BOANO
bzm	BOLONDO
bzp	KEMBERANO
bzq	BULI
bzr	BIRI
bzu	BURMESO
bzw	RUBASA
caa	CHORTI
cab	GARIFUNA
cac	CHUJ
cad	CADDO
cae	LEHAR
caf	SOUTHERN_CARRIER
cag	NIVACLE
cah	CAHUARANO
cal	CAROLINIAN
cam	CEMUHI
can	CHAMBRI
cao	CHACOBO
cap	CHIPAYA
caq	CAR
car	KALINA
cas	MOSETEN
cat	CATALAN
caw	CALLAWALLA
cax	CHIQUITANO
cay	CAYUGA
caz	CANICHANA
cbb	CABIYARI
cbc	CARAPANA
cbd	CARIJONA
cbg	CHIMILA
cbi	CAYAPA
cbk	ZAMBOANGUENO
cbn	NYAKUR
cbo	IZORA
cbs	KAXINAWA
cbt	CHAYAHUITA
cbu	CANDOSHI
cbv	CACUA
ccc	CHAMICURO
ccg	SAMBA_DAGA
cch	ATSAM
ccj	KASANGA
cco	CHINANTEC_COMALTEPEC
ccp	CHAKMA_UnnamedInSource
ccr	CACAOPERA
cde	CHENCHU
cdf	CHIRU
cdh	CHAMBEALI
cdj	CHURAHI
cdm	CHEPANG
cdn	CHAUDANGSI
cdr	CINDA_REGI_TIYAL
cdy	CHADONG
cdz	KODA
cea	LOWER_CHEHALIS
ceb	CEBUANO
ceg	CHAMACOCO
cen	CEN
ces	CZECH
cfa	DIJIM_BWILIM
cfd	CARA
cga	CHANGRIWA
cgc	KAGAYANEN
cgg	CHIGA
cha	CHAMORRO
chb	CHIBCHA
chc	CATAWBA
chd	HIGHLAND_TEQUISTLATEC
che	CHECHEN
chf	CHONTAL_TABASCO
chg	CHAGATAI
chh	LOWER_CHINOOK
chj	CHINANTEC_OJITLAN
chk	TRUKESE
chl	CAHUILLA
chn	CHINOOK_WAWA
cho	CHOCTAW
chp	CHIPEWYAN
chq	CHINANTEC_QUIOTEPEC
chr	CHEROKEE
cht	CHOLON
chu	OLD_CHURCH_SLAVONIC
chv	CHUVASH
chw	CHUWABU
chx	CHANTYAL
chy	CHEYENNE
cic	CHICKASAW
cid	CHIMARIKO
cie	CINENI
cim	CIMBRIAN
cin	CINTA_LARGA
cip	CHIAPANEC
cir	GRAND_COULI
ciw	CHIPPEWA
ciy	CHAIMA
cja	CHAM_WESTERN
cje	CHRU
cjh	CHEHALIS_UPPER
cji	CHAMALAL
cjk	CHOKWE
cjm	CHAM_EASTERN
cjn	CHENAPIAN
cjo	ASHENINKA_PAJONAL
cjp	CABECAR
cjs	SHOR
cjv	CHUAVE
ckb	KURDISH_CENTRAL
ckh	CHAK
ckl	CIBAK
cko	ANUFO
ckq	KAJAKSE
ckt	CHUKCHEE
cku	KOASATI
ckv	KAVALAN
cky	MUSHERE
cla	RON
clc	CHILCOTIN
cld	ARAMAIC
cle	LEALAO_CHINANTEC
clh	CHILISSO
cli	CHAKALI
clk	IDU_MISHMI
cll	CHALA
clm	CLALLAM
clo	OAXACA_CHONTAL
clw	MIDDLE_CHULYM
cme	KIRMA
cmi	EMBERA_CHAMI
cml	CAMPALAGIAN
cnh	CHIN_HAKA
cni	ASHANINKA
cns	ASMAT_CENTRAL
cnt	CHINANTEC_TEPETOTUTLA
cnu	CHENOUA
cob	CHICOMUCELTEC
coc	COCOPA
cod	KOKAMA
coe	KOREGUAJE
cof	COLORADO
coh	CHONYI
coj	COCHIMI
col	COLUMBIA_WENATCHI
com	COMANCHE
con	COFAN
coo	COMOX
cop	COPTIC
cor	CORNISH
cos	CORSICAN
cot	CAQUINTE
cou	WAMEY
cov	SANJIANG_KAM
cow	COWLITZ
cox	NANTI
coz	CHOCHOTEC
cpa	CHINANTEC_PALANTLA
cpb	ASHENINKA_UCAYALI_YURUA
cpc	AJYININKA_APURUCAYALI
cpg	ROMEYKA
cps	CAPIZNON
cpu	ASHENINKA_PICHIS
cpx	PUTIAN_CHINESE
cra	CHARA
crb	ISLAND_CARIB
crc	LONWOLWOL
crd	COEUR_DALENE
crf	CARAMANTA
crg	MICHIF
crh	CRIMEAN_TATAR
cri	SANTOMENSE
crj	SOUTHERN_EAST_CREE
crk	PLAINS_CREE
crl	NORTHERN_EAST_CREE
crm	MOOSE_CREE
crn	EL_NAYAR_CORA
cro	CROW
crq	CHOROTE_IYOWUJWA
crs	SEYCHELLES_CREOLE
crt	CHOROTE
crw	CHRAU
crx	CARRIER
cry	CORI
crz	CRUZENYO
csb	KASHUBIAN
csm	CENTRAL_SIERRA_MIWOK
cso	CHINANTEC_SOCHIAPAN
cst	RAFAELENYO
csw	SWAMPY_CREE
csy	CHIN_SIYIN
csz	HANIS_COOS
cta	CHATINO_TATALTEPEC
ctd	CHIN_TEDIM
ctm	CHITIMACHA
ctn	CHHINTANGE
cto	CATIO
ctp	CHATINO_WESTERN_HIGHLAND
cts	NORTHERN_CATANDUANES
ctz	ZACATEPEC_CHATINO
cua	CUA
cub	CUBEO
cuc	CHINANTEC_SAN_FELIPE_USILA
cuh	CHUKA
cui	CUIBA
cuj	MASHCO_PIRO
cuk	KUNA_YALA_SAN_BLAS
cup	CUPENO
cuq	CUN
cut	SAN_ANDRES_TEOTILALPAM_CUICATEC
cuu	YUANYANG_TAI
cuv	CUVOK
cux	CUICATEC
cuy	CUITLATEC
cvg	CHUG
cwd	CREE_WOODS
cwe	NGHWELE
cwg	CEQ_WONG
cwt	KUWAATAAY
cyb	CAYUBABA
cym	WELSH
cyo	CUYONON
czo	YONGAN_CHINESE
daa	DANGALEAT
dac	DAMBI
dad	DAMI
dag	DAGBANI
dah	GWAHATIKE
dai	DAY
daj	NYALA
dak	DAKOTA
dal	DAHALO
dam	DAMAKAWA
dan	DANISH
daq	SOUTH_BASTAR_GONDI
dar	DARGWA
dau	SILA
dav	TAITA
dax	DALWONGO
dbb	DENAWA
dbd	DADIYA
dbe	DABE
dbf	EDOPI
dbg	DOGON_DOGUL_DOM
dbj	IDAAN
dbl	DYIRBAL
dbm	DUGURI
dbn	DURIANKERE
dbp	BODE_DOEI
dbq	DABA
dbr	DABARRE
dbt	BEN_TEY_DOGON
dbu	DOGON_BONDUM_DOM
dby	DIBIYASO
dcc	DECCAN
dcr	NEGERHOLLANDS
ddd	DONGOTONO
ddg	FATALUKU
ddi	DIODIO
ddj	JARU
ddn	DENDI
dds	DOGON_DONNO_SO
ddw	DAWERA_DAWELOOR
dec	DAGIK
ded	DEDUA
dee	DEWOIN
def	DEZFULI
deg	DEGEMA
dei	DEMISA
dep	PIDGIN_DELAWARE
deq	DENDI_CENTRAL_AFRICAN_REPUBLIC
der	DEURI
des	DESANO
deu	STANDARD_GERMAN
dev	DOMUNG
dga	DAGAARE
dgb	BUNOGE
dgd	DAGAARI_DIOULA
dge	DEGENAN
dgh	DGHWEDE
dgi	NORTHERN_DAGARA
dgk	DAGBA
dgo	DOGRI
dgr	DOGRIB
dgx	DOGHORO
dgz	DAGA
dhd	DHUNDARI
dhg	YOLNGUMATHA
dhi	DHIMAL
dhr	DHARGARI
dhs	DHAISO
dhu	DHURGA
dhv	DEHU
dhw	DANUWAR
dib	DINKA_SOUTH_CENTRAL
dic	DIDA_LAKOTA
did	DIDINGA
dif	DIYARI
dig	DIGO
dii	DIMBONG
dij	DAI
dik	REK
dil	DILLING
dim	DIME
dio	DIBO
dip	DINKA_NORTHEASTERN
diq	ZAZAKI
dir	DIRIM
dis	DIMASA
diu	DIRIKU
div	MALDIVIAN
diw	DINKA_NORTHWESTERN
diy	DIUWE
diz	DING
dja	DJADJALA
djb	DJINBA
djc	DADJO_EREF
djd	DJAMINDJUNG
dje	ZARMA
dji	DJINANG
djj	DJEEBBANA
djk	AUKAN
djm	DOGON_JAMSAY
djn	DJAUAN
djr	DJAMBARRPUYNGU
dju	KAPRIMAN
dka	DAKPAKHA
dks	DINKA_SOUTHEASTERN
dkx	DABA_DKX
dlg	DOLGAN
dlk	DAHALIK
dlm	DALMATIAN
dma	DUMA
dmc	DIMIR
dmd	MADHI_MADHI
dme	DUGWOR
dmk	DOMAAKI
dml	DAMELI
dmm	DAMA
dmo	KEMEZUNG
dmr	EAST_DAMAR
dms	DAMPELAS
dmu	DUBU
dmy	DEMTA
dna	DANI_UPPER_GRAND_VALLEY
dnd	DAONDA
dne	NDENDEULE
dng	DUNGAN
dnj	YAKOUBA
dnn	DZUUNGOO
dnr	DANARU
dnt	MID_GRAND_VALLEY_DANI
dnu	DANAU
dnw	LANI
dny	DENI
doa	DOM
dob	DOBU
doe	DOE
dof	DOMU
doh	DONG
dok	DONDO
dol	DOSO
don	DOURA
doo	DONGO
dop	LUKPA
dor	DORIO
dos	DOGOSE
dow	DOOHWAAYAAYO
dox	BUSSA
doy	DOMPO
doz	DORZE
drb	DAIR
drd	DARMIYA
dri	LELA
drl	DARLING
drn	WEST_DAMAR
dro	DARO_MATU
drs	GEDEO
dru	RUKAI
dry	DARAI
dsb	LOWER_SORBIAN
dsh	DAASANACH
dsi	DISA
dsn	DUSNER
dsq	TADAKSAHAK
dta	DAUR
dtd	DITIDAHT
dti	ANA_TINGA
dtk	DOGON_TENE_KAN
dtm	DOGON_TOMO_KAN
dtu	TEBUL_URE
dua	DUALA
duc	DUNA
due	UMIRAY_DUMAGET_AGTA
duf	DUMBEA
dug	DURUMA
duh	DUNGRA_BHIL
duk	UYAJITAYA
dun	DUSUN_DEYAH
duo	DUPANINGAN_AGTA
duq	DUSUN_MALANG
dur	YAG_DII
dus	DUMI
duu	DRUNG
duv	DUVLE
duw	DUSUN_WITU
dux	DUUNGOMA
duz	DULI
dwa	DIRI
dwr	KULLO
dwu	DHUWAL
dww	DAWAWA
dya	DYAN
dyi	DYIMINI
dyn	DYANGADI
dyy	DYAABUGAY
dzg	DAZAGA
dzo	DZONGKHA
ebg	EBUGHU
ebk	FINALLIG
ebr	EBRIE
ebu	EMBU
efa	EFAI
efe	EFE
efi	EFIK
ega	EGA
ego	EGGON
ehu	EHUEUN
eip	EIPOMEK
eit	EITIEP
eja	EJAMAT
eka	EKAJUK
eke	EKIT
ekg	KAPAUKU
ekk	ESTONIAN
ekm	LIBIE
eko	KOTI
ekp	EKPEYE
eky	KAYAH_LI_EASTERN
ele	ELEPI
elh	EL_HUGEIRAT
eli	NDING
elk	ELKEI
ell	MODERN_GREEK
elm	ELEME
elo	EL_MOLO
elx	ELAMITE
emb	EMBALOH
eme	EMERILLON
emi	MUSSAU_EMIRA
emk	MANINKAKAN_EASTERN
