Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C38114	C207421		DDF Agent Administration Attribute Terminology	Route of Administration	Route of Administration	The way in which a pharmaceutical product is taken into, or makes contact with, the body. (CDISC Glossary)	Route of Administration
C188720		No	DDF Analysis Population Attribute Terminology	DDF Analysis Population Attribute Terminology	DDF Analysis Population Attribute Terminology	A terminology value set relevant to the attributes of the analysis population.	CDISC DDF Analysis Population Attribute Terminology
C188854	C188720		DDF Analysis Population Attribute Terminology	Analysis Population Description		The textual representation of the study population for analysis.	Analysis Population Description
C207466	C188720		DDF Analysis Population Attribute Terminology	Analysis Population Label		The short descriptive designation for the analysis population.	Analysis Population Label
C207467	C188720		DDF Analysis Population Attribute Terminology	Analysis Population Name		The literal identifier (i.e., distinctive designation) of the analysis population.	Analysis Population Name
C207468	C188720		DDF Analysis Population Attribute Terminology	Analysis Population Text		An instance of unstructured text that represents the analysis population.	Analysis Population Text
C201254		No	DDF Biomedical Concept Attribute Terminology	DDF Biomedical Concept Attribute Terminology	DDF Biomedical Concept Attribute Terminology	A terminology value set relevant to the attributes of the biomedical concept.	CDISC DDF Biomedical Concept Attribute Terminology
C207469	C201254		DDF Biomedical Concept Attribute Terminology	Biomedical Concept Concept Code		A concept unique identifier assigned to a biomedical concept that points to the meaning of that biomedical concept.	Biomedical Concept Code
C207470	C201254		DDF Biomedical Concept Attribute Terminology	Biomedical Concept Label		The short descriptive designation for the biomedical concept.	Biomedical Concept Label
C201312	C201254		DDF Biomedical Concept Attribute Terminology	Biomedical Concept Name		The literal identifier (i.e., distinctive designation) of the biomedical concept.	Biomedical Concept Name
C201313	C201254		DDF Biomedical Concept Attribute Terminology	Biomedical Concept Reference		A citation to an authoritative source for a biomedical concept.	Biomedical Concept Reference
C201314	C201254		DDF Biomedical Concept Attribute Terminology	Biomedical Concept Synonym		A word or an expression that serves as a figurative, symbolic, or exact substitute for a biomedical concept, and which has the same meaning.	Biomedical Concept Synonym
C201255		No	DDF Biomedical Concept Category Attribute Terminology	DDF Biomedical Concept Category Attribute Terminology	DDF Biomedical Concept Category Attribute Terminology	A terminology value set relevant to the attributes of the biomedical concept category.	CDISC DDF Biomedical Concept Category Attribute Terminology
C201315	C201255		DDF Biomedical Concept Category Attribute Terminology	Biomedical Concept Category Code		A symbol or combination of symbols which is assigned to the biomedical concept category.	Biomedical Concept Category Code
C201316	C201255		DDF Biomedical Concept Category Attribute Terminology	Biomedical Concept Category Description		A narrative representation of the biomedical concept category.	Biomedical Concept Category Description
C207471	C201255		DDF Biomedical Concept Category Attribute Terminology	Biomedical Concept Category Label		The short descriptive designation for the biomedical concept category.	Biomedical Concept Category Label
C201317	C201255		DDF Biomedical Concept Category Attribute Terminology	Biomedical Concept Category Name		The literal identifier (i.e., distinctive designation) of the biomedical concept category.	Biomedical Concept Category Name
C201256		No	DDF Biomedical Concept Property Attribute Terminology	DDF Biomedical Concept Property Attribute Terminology	DDF Biomedical Concept Property Attribute Terminology	A terminology value set relevant to the attributes of the biomedical concept property.	CDISC DDF Biomedical Concept Property Attribute Terminology
C201318	C201256		DDF Biomedical Concept Property Attribute Terminology	Biomedical Concept Property Concept Code		A concept unique identifier assigned to a biomedical concept property that points to the meaning of that biomedical concept property.	Biomedical Concept Property Concept Code
C202496	C201256		DDF Biomedical Concept Property Attribute Terminology	Biomedical Concept Property Enabled Indicator		An indication as to whether the biomedical concept property is activated for use within a given usage context for a biomedical concept.	Biomedical Concept Property Enabled Indicator
C207472	C201256		DDF Biomedical Concept Property Attribute Terminology	Biomedical Concept Property Label		The short descriptive designation for the biomedical concept property.	Biomedical Concept Property Label
C202494	C201256		DDF Biomedical Concept Property Attribute Terminology	Biomedical Concept Property Name		The literal identifier (i.e., distinctive designation) of the biomedical concept property.	Biomedical Concept Property Name
C202495	C201256		DDF Biomedical Concept Property Attribute Terminology	Biomedical Concept Property Required Indicator		An indication as to whether the biomedical concept property is required.	Biomedical Concept Property Required Indicator
C201319	C201256		DDF Biomedical Concept Property Attribute Terminology	Biomedical Concept Property Response Data Type		The structural format of the biomedical concept property response value. The datatype is carried in the attribute and influences the set of allowable values the attribute may assume. (After HL7)	Biomedical Concept Property Response Data Type
C201257		No	DDF Biomedical Concept Surrogate Attribute Terminology	DDF Biomedical Concept Surrogate Attribute Terminology	DDF Biomedical Concept Surrogate Attribute Terminology	A terminology value set relevant to the attributes of the biomedical concept surrogate.	CDISC DDF Biomedical Concept Surrogate Attribute Terminology
C201320	C201257		DDF Biomedical Concept Surrogate Attribute Terminology	Biomedical Concept Surrogate Description		A narrative representation of the biomedical concept surrogate.	Biomedical Concept Surrogate Description
C207473	C201257		DDF Biomedical Concept Surrogate Attribute Terminology	Biomedical Concept Surrogate Label		The short descriptive designation for the biomedical concept surrogate.	Biomedical Concept Surrogate Label
C207474	C201257		DDF Biomedical Concept Surrogate Attribute Terminology	Biomedical Concept Surrogate Name		The literal identifier (i.e., distinctive designation) of the biomedical concept surrogate.	Biomedical Concept Surrogate Name
C201321	C201257		DDF Biomedical Concept Surrogate Attribute Terminology	Biomedical Concept Surrogate Reference		A citation to an authoritative source for a biomedical concept surrogate.	Biomedical Concept Surrogate Reference
C207422		No	DDF Characteristic Attribute Terminology	DDF Characteristic Attribute Terminology	DDF Characteristic Attribute Terminology	A terminology value set relevant to the attributes of the characteristic.	CDISC DDF Characteristic Attribute Terminology
C207475	C207422		DDF Characteristic Attribute Terminology	Characteristic Description		A narrative representation of the characteristic.	Characteristic Description
C207476	C207422		DDF Characteristic Attribute Terminology	Characteristic Label		The short descriptive designation for the characteristic.	Characteristic Label
C207477	C207422		DDF Characteristic Attribute Terminology	Characteristic Name		The literal identifier (i.e., distinctive designation) of the characteristic.	Characteristic Name
C207478	C207422		DDF Characteristic Attribute Terminology	Characteristic Text		An instance of structured text that represents the characteristic.	Characteristic Text
C188699		No	DDF Clinical Study Attribute Terminology	DDF Clinical Study Attribute Terminology	DDF Clinical Study Attribute Terminology	A terminology value set relevant to the attributes of the clinical study.	CDISC DDF Clinical Study Attribute Terminology
C207479	C188699		DDF Clinical Study Attribute Terminology	Clinical Study Label		The short descriptive designation for the clinical study.	Clinical Study Label
C142704	C188699		DDF Clinical Study Attribute Terminology	Study Description		A narrative representation of the study.	Study Description
C68631	C188699		DDF Clinical Study Attribute Terminology	Study Name		The literal identifier (i.e., distinctive designation) of the study.	Study Name
C188722		No	DDF Code Attribute Terminology	DDF Code Attribute Terminology	DDF Code Attribute Terminology	A terminology value set relevant to the attributes of the code.	CDISC DDF Code Attribute Terminology
C188859	C188722		DDF Code Attribute Terminology	Code System Name		The literal identifier (i.e., distinctive designation) of the system used to assign and/or manage codes.	Code System Name
C188868	C188722		DDF Code Attribute Terminology	Code System Version		The version of the code system.	Coding System Version
C188858	C188722		DDF Code Attribute Terminology	Code Value		The literal value of a code.	Code Value
C188861	C188722		DDF Code Attribute Terminology	Decode		Standardized or dictionary-derived human readable text associated with a code.	Decode Text
C207425		No	DDF Condition Assignment Attribute Terminology	DDF Condition Assignment Attribute Terminology	DDF Condition Assignment Attribute Terminology	A terminology value set relevant to the attributes of the condition assignment.	CDISC DDF Condition Assignment Attribute Terminology
C47953	C207425		DDF Condition Assignment Attribute Terminology	Logical Condition		An assumption on which rests the validity or effect of something else.	Logical Condition
C207424		No	DDF Condition Attribute Terminology	DDF Condition Attribute Terminology	DDF Condition Attribute Terminology	A terminology value set relevant to the attributes of the condition.	CDISC DDF Condition Attribute Terminology
C207481	C207424		DDF Condition Attribute Terminology	Condition Description		A narrative representation of the condition.	Condition Description
C207482	C207424		DDF Condition Attribute Terminology	Condition Label		The short descriptive designation for the condition.	Condition Label
C207483	C207424		DDF Condition Attribute Terminology	Condition Name		The literal identifier (i.e., distinctive designation) of the condition.	Condition Name
C207484	C207424		DDF Condition Attribute Terminology	Condition Text		An instance of structured text that represents the condition.	Condition Text
C207427		No	DDF Eligibility Criteria Attribute Terminology	DDF Eligibility Criteria Attribute Terminology	DDF Eligibility Criteria Attribute Terminology	A terminology value set relevant to the attributes of the eligibility criteria.	CDISC DDF Eligibility Criteria Attribute Terminology
C83016	C207427		DDF Eligibility Criteria Attribute Terminology	Study Eligibility Criteria Category		A classification of the inclusion exclusion criterion.	Inclusion Exclusion Criterion Category
C207486	C207427		DDF Eligibility Criteria Attribute Terminology	Study Eligibility Criterion Description		A narrative representation of the study eligibility criterion.	Study Eligibility Criteria Description
C207489	C207427		DDF Eligibility Criteria Attribute Terminology	Study Eligibility Criterion Identifier		A sequence of characters used to identify, name, or characterize the inclusion or exclusion criterion.	Study Eligibility Criterion Identifier
C207487	C207427		DDF Eligibility Criteria Attribute Terminology	Study Eligibility Criterion Label		The short descriptive designation for the study eligibility criterion.	Study Eligibility Criteria Label
C207488	C207427		DDF Eligibility Criteria Attribute Terminology	Study Eligibility Criterion Name		The literal identifier (i.e., distinctive designation) of the study eligibility criterion.	Study Eligibility Criteria Name
C207485	C207427		DDF Eligibility Criteria Attribute Terminology	Study Eligibility Criterion Text		An instance of structured text that represents the study eligibility criterion.	Study Eligibility Criteria Text
C188713		No	DDF Encounter Attribute Terminology	DDF Encounter Attribute Terminology	DDF Encounter Attribute Terminology	A terminology value set relevant to the attributes of the encounter.	CDISC DDF Encounter Attribute Terminology
C188836	C188713		DDF Encounter Attribute Terminology	Clinical Encounter Description		A narrative representation of the protocol-defined clinical encounter.	Clinical Encounter Description
C171010	C188713		DDF Encounter Attribute Terminology	Clinical Encounter Name		The literal identifier (i.e., distinctive designation) for a protocol-defined clinical encounter.	Clinical Encounter Name
C188839	C188713		DDF Encounter Attribute Terminology	Clinical Encounter Type		A characterization or classification of contact between subject/patient and healthcare practitioner/researcher, during which an assessment or activity is performed.	Clinical Encounter Type
C188841	C188713		DDF Encounter Attribute Terminology	Contact Mode		The means by which an interaction occurs between the subject/participant and person or entity (e.g., a device).	Contact Mode
C188840	C188713		DDF Encounter Attribute Terminology	Environmental Setting		The environment/setting where the event, intervention, or finding occurred.	Environmental Setting
C207490	C188713		DDF Encounter Attribute Terminology	Study Encounter Label		The short descriptive designation for the study encounter.	Study Encounter Label
C188708		No	DDF Endpoint Attribute Terminology	DDF Endpoint Attribute Terminology	DDF Endpoint Attribute Terminology	A terminology value set relevant to the attributes of the endpoint.	CDISC DDF Endpoint Attribute Terminology
C188824	C188708		DDF Endpoint Attribute Terminology	Study Endpoint Description		A narrative representation of the study endpoint.	Study Endpoint Description
C207491	C188708		DDF Endpoint Attribute Terminology	Study Endpoint Label		The short descriptive designation for the study endpoint.	Study Endpoint Label
C188826	C188708		DDF Endpoint Attribute Terminology	Study Endpoint Level		A characterization or classification of the study endpoint that determines its category of importance relative to other study endpoints.	Study Endpoint Level
C207492	C188708		DDF Endpoint Attribute Terminology	Study Endpoint Name		The literal identifier (i.e., distinctive designation) of the study endpoint.	Study Endpoint Name
C188825	C188708		DDF Endpoint Attribute Terminology	Study Endpoint Purpose		The reason or intention for the study endpoint.	Study Endpoint Purpose
C207493	C188708		DDF Endpoint Attribute Terminology	Study Endpoint Text		An instance of structured text that represents the study endpoint.	Study Endpoint Text
C188698		No	DDF Entity Terminology	DDF Entity Terminology	DDF Entity Terminology	A terminology value set relevant to the entities within the CDISC digital data flow (DDF) model.	CDISC DDF Entities Terminology
C25407	C188698		DDF Entity Terminology	Address		A standardized representation of the location of a person, business, building, or organization. (NCI)	Address
C69282	C188698		DDF Entity Terminology	Administration Duration		The amount of time elapsed during the administration of an agent.	Duration of Administration
C70962	C188698		DDF Entity Terminology	Agent Administration		The act of the dispensing, applying, or tendering a medical product or other agent.	Agent Administration
C201344	C188698		DDF Entity Terminology	Alias Code		An alternative symbol or combination of symbols which is assigned to the members of a collection.	Alias Code
C201346	C188698		DDF Entity Terminology	Biomedical Concept Category		A grouping of biomedical concepts based on some commonality or by user defined characteristics.	Biomedical Concept Category
C202493	C188698		DDF Entity Terminology	Biomedical Concept Property		A characteristic from a set of characteristics used to define a biomedical concept.	Biomedical Concept Property
C207590	C188698		DDF Entity Terminology	Biomedical Concept Surrogate		A concept that substitutes for a standard biomedical concept from the designated source.	Biomedical Concept Surrogate
C201345	C188698		DDF Entity Terminology	Biomedical Concept		A unit of biomedical knowledge created from a unique combination of characteristics that include implementation details like variables and terminologies, used as building blocks for standardized, hierarchically structured clinical research information.	Biomedical Concept
C25447	C188698		DDF Entity Terminology	Characteristic		The distinguishing qualities or prominent aspects of an entity.	Characteristic
C142427	C188698		DDF Entity Terminology	Clinical Encounter		Contact between subject/patient and healthcare practitioner/researcher, during which an assessment or activity is performed. Contact may be physical or virtual.	Clinical Encounter
C15206	C188698		DDF Entity Terminology	Clinical Study		A clinical study involves research using human volunteers (also called participants) that is intended to add to medical knowledge. There are two main types of clinical studies: clinical trials (also called interventional studies) and observational studies. [ClinicalTrials.gov] See also clinical trial. (CDISC Glossary)	Clinical Study
C25162	C188698		DDF Entity Terminology	Code		A symbol or combination of symbols which is assigned to the members of a collection.	Code
C201335	C188698		DDF Entity Terminology	Condition Assignments		An allotting or appointment to a set of conditions that are to be met in order to make a logical decision.	Condition Assignment
C25457	C188698		DDF Entity Terminology	Condition		A state of being.	Condition
C41184	C188698		DDF Entity Terminology	Disease/Condition Indication		A health problem or disease that is identified as likely to be benefited by a therapy being studied in clinical trials.	Indication
C188813	C188698		DDF Entity Terminology	Estimand		A precise description of the treatment effect reflecting the clinical question posed by a given clinical trial objective. It summarises at a population level what the outcomes would be in the same patients under different treatment conditions being compared. (ICH E9 R1 Addendum)	Estimand
C207591	C188698		DDF Entity Terminology	Geographic Scope		The extent or range related to the physical location of an entity.	Geographic Scope
C188815	C188698		DDF Entity Terminology	Intercurrent Event		An event(s) occurring after treatment initiation that affects either the interpretation or the existence of the measurements associated with the clinical question of interest. (ICH E9 Addendum on Estimands)	Intercurrent Event
C191278	C188698		DDF Entity Terminology	Masking		The mechanism used to obscure the distinctive characteristics of the study intervention or procedure to make it indistinguishable from the comparator. NOTE: Blinding refers to study participants while masking refers to the study intervention. (CDISC Glossary)	Masking
C207592	C188698		DDF Entity Terminology	Narrative Content		The container that holds an instance of unstructured text and which may include objects such as tables, figures, and images.	Narrative Content
C19711	C188698		DDF Entity Terminology	Organization		A formalized group of persons or other organizations collected together for a common purpose (such as administrative, legal, political) and the infrastructure to carry out that purpose. (BRIDG)	Professional Organization or Group
C207456	C188698		DDF Entity Terminology	Parameter Map		The paired name and value for a given parameter.	Parameter Map
C207593	C188698		DDF Entity Terminology	Population Definition		A concise explanation of the meaning of a population.	Population Definition
C98769	C188698		DDF Entity Terminology	Procedure	Medical Procedure	Any activity performed by manual and/or instrumental means for the purpose of diagnosis, assessment, therapy, prevention, or palliative care.	Physical Medical Procedure
C25256	C188698		DDF Entity Terminology	Quantity		How much there is of something that can be measured; the total amount or number.	Quantity
C38013	C188698		DDF Entity Terminology	Range		The difference between the lowest and highest numerical values; the limits or scale of variation.	Range
C93448	C188698		DDF Entity Terminology	Research Organization		An organization that undertakes systematic investigation within a field of study in order to discover facts, establish or revise a theory, test a hypothesis, or develop a plan of action based on the facts discovered.	Research Organization
C201347	C188698		DDF Entity Terminology	Response Code		A symbol or combination of symbols representing the response to the question.	Response Code
C201349	C188698		DDF Entity Terminology	Schedule Timeline Exit		To go out of or leave the schedule timeline.	Schedule Timeline Exit
C201348	C188698		DDF Entity Terminology	Schedule Timeline		A chronological schedule of planned temporal events.	Schedule Timeline
C201350	C188698		DDF Entity Terminology	Scheduled Activity Instance		A scheduled occurrence of an activity event.	Scheduled Activity Instance
C201351	C188698		DDF Entity Terminology	Scheduled Decision Instance		A scheduled occurrence of a decision event.	Scheduled Decision Instance
C201299	C188698		DDF Entity Terminology	Scheduled Instance		A scheduled occurrence of a temporal event.	Scheduled Instance
C71473	C188698		DDF Entity Terminology	Study Activity		An action, undertaking, or event, which is anticipated to be performed or observed, or was performed or observed, according to the study protocol during the execution of the study.	Study Activity
C207457	C188698		DDF Entity Terminology	Study Amendment Reason	Reason(s) for Amendment	The rationale for the change(s) to, or formal clarification of, a protocol.	Study Amendment Reason
C207594	C188698		DDF Entity Terminology	Study Amendment		A written description of a change(s) to, or formal clarification of, a study.	Study Amendment
C174447	C188698		DDF Entity Terminology	Study Arm	Arm	A planned pathway assigned to the subject as they progress through the study, usually referred to by a name that reflects one or more treatments, exposures, and/or controls included in the path.	Study Arm
C61512	C188698		DDF Entity Terminology	Study Cohort		A group of individuals who share a set of characteristics (e.g., exposures, experiences, attributes), which logically defines a population under study.	Cohort
C188810	C188698		DDF Entity Terminology	Study Design Cell		A partitioning of a study arm into individual pieces, which are associated with an epoch and any number of sequential elements within that epoch.	Study Design Cell
C142735	C188698		DDF Entity Terminology	Study Design Element		A basic building block for time within a clinical study comprising the following characteristics: a description of what happens to the subject during the element; a definition of the start of the element; a rule for ending the element.	Trial Design Element
C15320	C188698		DDF Entity Terminology	Study Design		A strategy that specifies the structure of a study in terms of the planned activities (including timing) and statistical analysis approach intended to meet the objectives of the study.	Study Design
C16112	C188698		DDF Entity Terminology	Study Eligibility Criteria	Trial Eligibility Criteria	Characteristics which are necessary to allow a subject to participate in a clinical study, as outlined in the study protocol. The concept covers inclusion and exclusion criteria.	Clinical Trial Eligibility Criteria
C25212	C188698		DDF Entity Terminology	Study Endpoint		A defined variable intended to reflect an outcome of interest that is statistically analyzed to address a particular research question. NOTE: A precise definition of an endpoint typically specifies the type of assessments made, the timing of those assessments, the assessment tools used, and possibly other details, as applicable, such as how multiple assessments within an individual are to be combined. [After BEST Resource] (CDISC Glossary)	End Point
C71738	C188698		DDF Entity Terminology	Study Epoch		A named time period defined in the protocol, wherein a study activity is specified and unchanging throughout the interval, to support a study-specific purpose.	Clinical Trial Epoch
C207595	C188698		DDF Entity Terminology	Study Governance Date		Any of the dates associated with event milestones within a clinical study's oversight and management framework.	Study Governance Date
C83082	C188698		DDF Entity Terminology	Study Identifier		A sequence of characters used to identify, name, or characterize the study.	Study Identifier
C142450	C188698		DDF Entity Terminology	Study Objective		The reason for performing a study in terms of the scientific questions to be answered by the analysis of data collected during the study.	Clinical Trial Objective
C93381	C188698		DDF Entity Terminology	Study Protocol Document		A representation of the study protocol (that persists over time) in document form.	Study Protocol Document
C93490	C188698		DDF Entity Terminology	Study Protocol Version		A plan at a particular point in time for a formal investigation to assess the utility, impact, pharmacological, physiological, and/or psychological effects of a particular treatment, procedure, drug, device, biologic, food product, cosmetic, care plan, or subject characteristic. (BRIDG)	Study Protocol Version
C80403	C188698		DDF Entity Terminology	Study Site		The location at which a study investigator conducts study activities.	Study Site
C49802	C188698		DDF Entity Terminology	Study Title	Official Study Title; Study Title; Trial Title	The sponsor-defined name of the clinical study.	Trial Title
C188816	C188698		DDF Entity Terminology	Study Version		A plan at a particular point in time for a study.	Study Version
C37948	C188698		DDF Entity Terminology	Subject Enrollment		The act of enrolling subjects into a study. The subject will have met the inclusion/exclusion criteria to participate in the trial and will have signed an informed consent form. (CDISC Glossary)	Enrollment
C207597	C188698		DDF Entity Terminology	Syntax Template Dictionary		A reference source that provides a listing of valid parameter names and values used in syntax template text strings.	Syntax Template Dictionary
C207596	C188698		DDF Entity Terminology	Syntax Template		A standardized pattern used for the arrangement of words and phrases to create well-formed, structured sentences.	Syntax Template
C188814	C188698		DDF Entity Terminology	Target Study Population for Analysis		A target study population on which an analysis is performed. These may be represented by the entire study population, a subgroup defined by a particular characteristic measured at baseline, or a principal stratum defined by the occurrence (or non-occurrence, depending on context) of a specific intercurrent event. (ICH E9 R1 Addendum)	Target Study Population for Analysis
C142728	C188698		DDF Entity Terminology	Target Study Population	Target Population	The group of people in the general population to which the study results can be generalized.	Target Study Population
C80484	C188698		DDF Entity Terminology	Timing		The chronological relationship between temporal events.	Timing
C82567	C188698		DDF Entity Terminology	Transition Rule		A guide that governs the allocation of subjects to operational options at a discrete decision point or branch (e.g., assignment to a particular arm, discontinuation) within a clinical trial plan.	Transition Rule
C188719		No	DDF Estimand Attribute Terminology	DDF Estimand Attribute Terminology	DDF Estimand Attribute Terminology	A terminology value set relevant to the attributes of the estimand.	CDISC DDF Estimand Attribute Terminology
C188853	C188719		DDF Estimand Attribute Terminology	Population-Level Summary		A synopsis of the clinical endpoint of interest within the analysis target study population.	Population-Level Summary
C207428		No	DDF Geographic Scope Attribute Terminology	DDF Geographic Scope Attribute Terminology	DDF Geographic Scope Attribute Terminology	A terminology value set relevant to the attributes of the geographic scope.	CDISC DDF Geographic Scope Attribute Terminology
C207494	C207428		DDF Geographic Scope Attribute Terminology	Geographic Scope Code		A symbol or combination of symbols which is assigned to the geographic scope.	Geographic Scope Code
C207495	C207428		DDF Geographic Scope Attribute Terminology	Geographic Scope Type		A characterization or classification of the geographic scope.	Geographic Scope Type
C207429		No	DDF Governance Date Attribute Terminology	DDF Governance Date Attribute Terminology	DDF Governance Date Attribute Terminology	A terminology value set relevant to the attributes of the governance date.	CDISC DDF Governance Date Attribute Terminology
C207496	C207429		DDF Governance Date Attribute Terminology	Protocol Approval Date Type		A characterization or classification of the protocol approval date.	Protocol Approval Date Type
C207497	C207429		DDF Governance Date Attribute Terminology	Study Governance Date Description		A narrative representation of the study governance date.	Study Governance Date Description
C207498	C207429		DDF Governance Date Attribute Terminology	Study Governance Date Label		The short descriptive designation for the study governance date.	Study Governance Date Label
C207499	C207429		DDF Governance Date Attribute Terminology	Study Governance Date Name		The literal identifier (i.e., distinctive designation) of the study governance date	Study Governance Date Name
C207500	C207429		DDF Governance Date Attribute Terminology	Study Governance Date Value		The information contained in the date field.	Study Governance Date Value
C188705		No	DDF Indication Attribute Terminology	DDF Indication Attribute Terminology	DDF Indication Attribute Terminology	A terminology value set relevant to the attributes of the disease indication.	CDISC DDF Indication Attribute Terminology
C188822	C188705		DDF Indication Attribute Terminology	Disease Indication Code		A short sequence of characters that represents the disease indication.	Disease Indication Code
C112038	C188705		DDF Indication Attribute Terminology	Disease/Condition Indication Description	Indication for Use; Trial Disease/Condition Indication; Trial Disease/Condition Indication Description	A narrative representation of the condition, disease or disorder that the clinical trial is intended to investigate or address.	Trial Indication
C207501	C188705		DDF Indication Attribute Terminology	Disease/Condition Indication Is Rare Disease Indicator		An indication as to whether the disease/condition indication under study is considered a rare disease.	Disease Indication Is Rare Disease Indicator
C207502	C188705		DDF Indication Attribute Terminology	Disease/Condition Indication Label		The short descriptive designation for the disease/condition indication.	Disease Indication Label
C207503	C188705		DDF Indication Attribute Terminology	Disease/Condition Indication Name		The literal identifier (i.e., distinctive designation) of the disease/condition indication.	Disease Indication Name
C188721		No	DDF Intercurrent Event Attribute Terminology	DDF Intercurrent Event Attribute Terminology	DDF Intercurrent Event Attribute Terminology	A terminology value set relevant to the attributes of the intercurrent event.	CDISC DDF Intercurrent Event Attribute Terminology
C188856	C188721		DDF Intercurrent Event Attribute Terminology	Intercurrent Event Description		A narrative representation of the intercurrent event.	Intercurrent Event Description
C207504	C188721		DDF Intercurrent Event Attribute Terminology	Intercurrent Event Label		The short descriptive designation for the intercurrent event.	Intercurrent Event Label
C188855	C188721		DDF Intercurrent Event Attribute Terminology	Intercurrent Event Name		The literal identifier (i.e., distinctive designation) of the intercurrent event.	Intercurrent Event Name
C188857	C188721		DDF Intercurrent Event Attribute Terminology	Intercurrent Event Strategy		A textual description of the planned strategy to manage and/or mitigate intercurrent events.	Intercurrent Event Strategy
C207430		No	DDF Masking Attribute Terminology	DDF Masking Attribute Terminology	DDF Masking Attribute Terminology	A terminology value set relevant to the attributes of the masking.	CDISC DDF Masking Attribute Terminology
C207505	C207430		DDF Masking Attribute Terminology	Masking Description		A narrative representation of the study masking strategy, based on a person's role within the study.	Study Masking Description
C207506	C207430		DDF Masking Attribute Terminology	Masking Role	Blinded Roles; Blinding Roles	An identifying designation assigned to a masked individual within a study that corresponds with their function.	Study Masking Role
C207426		No	DDF Narrative Content Attribute Terminology	DDF Narrative Content Attribute Terminology	DDF Narrative Content Attribute Terminology	A terminology value set relevant to the attributes of the narrative content.	CDISC DDF Narrative Content Attribute Terminology
C207507	C207426		DDF Narrative Content Attribute Terminology	Narrative Content Name		The literal identifier (i.e., distinctive designation) of the narrative content.	Narrative Content Name
